RecordID,Incident_ID,AddressRaw,AddressStandardized,AlarmDateTimeAmericaNY,CauseOfIgnition,FireAreaOfOrigin,FireType,HeatSource,IncidentDurationMinutes,ItemFirstIgnited,Latitude,Longitude,PropertyLossDollars,PropertyUse,StreetName,StreetNumber,StreetPostDirection,StreetPredirection,StreetSuffix,UnitFirstArrive,UnitFirstResponseTimeMinutes,Year,ZipCode
16,2030286,200 250 BYPASS,200 250 BYP,2003/01/27 01:26:17+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Hot or smoldering object, other",24.29999924,"Upholstered sofa, chair, vehicle seats",38.06999969,-78.48999786,0, ,250,200, , ,BYP,E7,5.96999979,2003,22901
17,2030298,614 DICE ST,614 DICE ST,2003/01/27 20:07:23+00,Unintentional,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,"Radiated, conducted heat from operating equipment",34,"Upholstered sofa, chair, vehicle seats",38.02999878,-78.48999786,15,"Boarding/rooming house, residential hotels",DICE,614, , ,ST,BC2,3.27999997,2003,22902
18,2030332,1600 6TH ST SE,1600 6TH ST SE,2003/01/30 21:23:28+00,Cause under investigation,Other,Structure Fire,Undetermined,47.29999924,Undetermined,38.02000046,-78.48999786,0,"Outside or special property, other",6TH,1600,SE, ,ST,E5,2.63000011,2003,22901
19,2030341,1011 COTTONWOOD RD,1011 COTTONWOOD RD,2003/01/31 17:07:40+00,Unintentional,"Bathroom, checkroom, lavatory, locker room",Structure Fire,"Radiated, conducted heat from operating equipment",73.30000305,"Dust, fiber, lint, including sawdust and excelsior",38.04000092,-78.47000122,2500,1 or 2 family dwelling,COTTONWOOD,1011, , ,RD,E1,5.23000002,2003,22901
20,3030016,252 MCCORMICK RD,252 MCCORMICK RD,2003/02/01 00:03:29+00,Failure of equipment or heat source,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,Undetermined,29.70000076,"Filter, including evaporative cooler pads",38.02999878,-78.51000214,0,"Dormitory type residence, other",MCCORMICK,252, , ,RD, ,0,2003,22903
21,2030397,1800 MONTICELLO RD,1800 MONTICELLO RD,2003/02/06 02:19:13+00,Cause undetermined after investigation,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Radiated, conducted heat from operating equipment",10.60000038,"Electrical wire, cable insulation",38.02000046,-78.47000122,0,"Service station, gas station",MONTICELLO,1800, , ,RD,E5,3.31999993,2003,22902
22,3030024,435 TREE HOUSE DR,435 TREE HOUSE DR,2003/02/07 04:59:53+00,Unintentional,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,"Hot or smoldering object, other",34.90000153,"Bedding; blanket, sheet, comforter",38.06999969,-78.45999908,0,"Dormitory type residence, other",TREE HOUSE,435, , ,DR,BC3,7.13000011,2003,22901
23,2030443,222 14TH ST NW,222 14TH ST NW,2003/02/13 17:38:38+00,Unintentional,"Cooking area, kitchen",Structure Fire,"Radiated, conducted heat from operating equipment",36.40000153,"Interior wall covering excluding drapes, etc.",38.04000092,-78.5,0,Multifamily dwelling,14TH,222,NW, ,ST,E5,3.36999989,2003,22903
24,2030459,1023 GROVE ST,1023 GROVE ST,2003/02/15 05:39:54+00,Unintentional,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,Cigarette,29.60000038,Floor covering or rug/carpet/mat,38.04999924,-78.48000336,0,1 or 2 family dwelling,GROVE,1023, , ,ST,E7,5.5999999,2003,22901
25,2030474, , ,2003/02/17 09:31:35+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Undetermined,41.59999847,"Electrical wire, cable insulation",38.00999832,-78.48999786,0,"Residential street, road or residential driveway", , , , , ,E7,5.07000017,2003,22901
26,2030492,1400 MELBOURNE ROAD,1400 MELBOURNE RD,2003/02/19 12:12:39+00,Natural source, ,Natural vegetation fire,"Chemical, natural heat source, other",102.69999695, ,38.04999924,-78.47000122,0,"Storage, other",MELBOURNE,1400, , ,RD,E2,5.44999981,2003,22901
27,2030519,1800 JEFFERSON PARK AVE,1800 JEFFERSON PARK AVE,2003/02/22 00:34:44+00,Unintentional,"Cooking area, kitchen",Structure Fire,"Spark, ember, or flame from operating equipment",206.30000305,Appliance housing or casing,0,0,30000,Multifamily dwelling,JEFFERSON PARK,1800, , ,AVE,E7,4.26999998,2003,22901
28,2030582,1115 FOREST ST,1115 FOREST ST,2003/02/27 03:17:17+00,Unintentional,"Vehicle area, other",Mobile property (vehicle) fire,"Radiated, conducted heat from operating equipment",19.29999924,"Liquids, piping, filters, other",38.04000092,-78.48000336,0,Vehicle parking area,FOREST,1115, , ,ST,BC3,4.13000011,2003,22903
29,2030593, , ,2003/02/28 00:29:01+00,Cause undetermined after investigation,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Spark, ember, or flame from operating equipment",39.20000076,Flammable liquid/gas - in/from engine or burner,38.00999832,-78.48999786,0,Highway or divided highway, , , , , ,E1,0,2003,22901
30,2030624,732 WALNUT ST,732 WALNUT ST,2003/03/03 19:37:14+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Radiated, conducted heat from operating equipment",21.89999962,Undetermined,38.02999878,-78.47000122,0,Vehicle parking area,WALNUT,732, , ,ST,E5,4.96999979,2003,22902
31,2030674,108 MAURY AVE,108 MAURY AVE,2003/03/09 00:59:52+00,Unintentional,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,Candle,124.69999695,"Furniture, utensils, other",38.02999878,-78.51999664,12500,1 or 2 family dwelling,MAURY,108, , ,AVE,E6,3.25,2003,22903
32,2030706,319 E MAIN ST,319 E MAIN ST,2003/03/12 16:29:49+00,Smoking, ,Natural vegetation fire,Hot ember or ash,59.29999924, ,38.02999878,-78.48000336,0,"Assembly, other",MAIN,319, ,E,ST,E5,2.17000008,2003,22902
33,2030708, , ,2003/03/12 20:11:32+00,Unintentional,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Arcing,22.70000076,Multiple items first ignited,38.00999832,-78.48999786,0,Highway or divided highway, , , , , ,E1,6.75,2003,22901
34,2030716,2134 BARRACKS RD,2134 BARRACKS RD,2003/03/13 17:53:30+00,Failure of equipment or heat source,"Bathroom, checkroom, lavatory, locker room",Structure Fire,"Heat from powered equipment, other",177.6000061,"Electrical wire, cable insulation",38.04999924,-78.5,5000,"General retail, other",BARRACKS,2134, , ,RD,POV,0.57999998,2003,22903
35,2030768,801 ORANGEDALE AVE,801 ORANGEDALE AVE,2003/03/20 00:51:34+00,Failure of equipment or heat source,"Laundry area, wash house (laundry)",Structure Fire,Undetermined,157.69999695,"Interior wall covering excluding drapes, etc.",38.06999969,-78.48999786,35000,1 or 2 family dwelling,ORANGEDALE,801, , ,AVE,E5,3.67000008,2003,22901
36,2030794, , ,2003/03/22 21:39:30+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Arcing,36.70000076,"Electrical wire, cable insulation",38.00999832,-78.48999786,13000, , , , , , ,E82,0,2003,22901
37,2030802, , ,2003/03/23 18:23:21+00,Failure of equipment or heat source,"Exterior, exposed surface",Mobile property (vehicle) fire,"Radiated, conducted heat from operating equipment",29.29999924,"Pipe, duct, conduit or hose",38.00999832,-78.48999786,0,Vehicle parking area, , , , , ,E6,4.71999979,2003,22903
38,2030808,768 PROSPECT AVE,768 PROSPECT AVE,2003/03/24 04:04:38+00,Cause undetermined after investigation,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Undetermined,55.79999924,Undetermined,38.02000046,-78.48999786,5000, ,PROSPECT,768, , ,AVE,E7,5.61999989,2003,22902
39,2030820,1222 JEFFERSON PARK,1222 JEFFERSON PARK AVE,2003/03/25 12:09:33+00,Smoking, ,Natural vegetation fire,Cigarette,6.4000001, ,38.02999878,-78.47000122,0,Business office,JEFFERSON PARK,1222, , ,AVE,E7,2.5999999,2003,22901
40,3030090,1408 JEFFERSON PARK AVE,1408 JEFFERSON PARK AVE,2003/03/25 20:51:01+00,Unintentional,"Cooking area, kitchen",Structure Fire,Heat from other open flame or smoking materials,41.09999847,"Linen; other than bedding",38.02999878,-78.5,85,"Sorority house, fraternity house",JEFFERSON PARK,1408, , ,AVE,E7,3.5999999,2003,22902
41,3030091,1215 LEE ST,1215 LEE ST,2003/03/26 14:53:23+00,Smoking, ,Natural vegetation fire,Cigarette,17.10000038, ,38.02999878,-78.5,20,"Residential street, road or residential driveway",LEE,1215, , ,ST,E7,2.0999999,2003,22903
42,3030092,450 MCCORMICK RD,450 MCCORMICK RD,2003/03/27 06:07:15+00,Intentional,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,Fireworks,41,Wearing apparel not on a person,38.02999878,-78.51000214,0,"Dormitory type residence, other",MCCORMICK,450, , ,RD,E6,5.32999992,2003,22904
43,2030897,400 EMMET ST S,400 EMMET ST S,2003/04/01 11:32:20+00,Cause undetermined after investigation,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Undetermined,18,Undetermined,38.06000137,-78.5,0, ,EMMET,400,S, ,ST,E6,3.0999999,2003,22901
44,2030904, , ,2003/04/02 07:55:36+00,Cause under investigation,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Heat from undetermined smoking material,57.59999847,Multiple items first ignited,38.00999832,-78.48999786,0, , , , , , ,E5,5.32999992,2003,22902
45,2030912,904 1ST ST S,904 1ST ST S,2003/04/02 21:30:29+00,Failure of equipment or heat source,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,Arcing,18.60000038,"Interior wall covering excluding drapes, etc.",38.02999878,-78.48000336,230,Multifamily dwelling,1ST,904,S, ,ST,LAD01,0.68000001,2003,22901
46,2030918,1254 EMMET ST N,1254 EMMET ST N,2003/04/03 15:16:54+00,Smoking, ,Natural vegetation fire,Cigarette,11.89999962, ,38.06000137,-78.5,0,Graded and cared-for plots of land,EMMET,1254,N, ,ST,E2,4.96999979,2003,22901
47,2030923,235 HEREFORD DR,235 HEREFORD DR,2003/04/03 18:26:45+00,Smoking, ,Natural vegetation fire,Cigarette,22.10000038, ,38.02999878,-78.51999664,0,"Dormitory type residence, other",HEREFORD,235, , ,DR,E6,6.19999981,2003,22903
48,3030104,1210 LEE ST,1210 LEE ST,2003/04/03 19:36:31+00,Undetermined, ,Natural vegetation fire,Undetermined,7, ,38.02999878,-78.5,0,"Street, other",LEE,1210, , ,ST,E6,2.31999993,2003,22903
49,2030951,1254 EMMET ST N,1254 EMMET ST N,2003/04/06 11:53:45+00,Undetermined, ,Natural vegetation fire,Undetermined,10, ,38.06000137,-78.5,0,Vehicle parking area,EMMET,1254,N, ,ST,E2,4.53000021,2003,22903
50,2030952,1154 5TH ST SW,1154 5TH ST SW,2003/04/06 17:09:51+00,Smoking, ,Natural vegetation fire, ,7.9000001, ,38.00999832,-78.5,0,Highway or divided highway,5TH,1154,SW, ,ST,E5,0,2003,22902
51,2030954,2111 MICHIE DR,2111 MICHIE DR,2003/04/06 20:54:17+00,Undetermined, ,Natural vegetation fire,Undetermined,11.89999962, ,38.06000137,-78.48999786,0,Vehicle parking area,MICHIE,2111, , ,DR,E2,6.94999981,2003,22901
52,2030971,271 RIDGE MCINTIRE RD,271 RIDGE MCINTIRE RD,2003/04/08 19:32:05+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Undetermined,37,Flammable liquid/gas - in/from engine or burner,38.02999878,-78.48000336,0, ,RIDGE MCINTIRE,271, , ,RD,E7,1.58000004,2003,22903
53,2031002, , ,2003/04/11 13:39:32+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Heat from powered equipment, other",11.80000019,Flammable liquid/gas - in/from engine or burner,38.00999832,-78.48999786,2000,Street or road in commercial area, , , , , ,E7,1.87,2003,22901
54,2031005,113 HARMON ST,113 HARMON ST,2003/04/11 18:02:53+00,Failure of equipment or heat source,"Common room, den, family room, living room, lounge",Structure Fire,Arcing,35.5,Appliance housing or casing,38.09999847,-78.58000183,1100,1 or 2 family dwelling,HARMON,113, , ,ST,E7,4.6500001,2003,22901
55,2031030,1001 BIRDWOOD RD,1001 BIRDWOOD RD,2003/04/13 20:07:44+00,Incendiary, ,Natural vegetation fire,Cigarette lighter,44.40000153, ,38.04000092,-78.48000336,0,Open land or field,BIRDWOOD,1001, , ,RD,E2,2.67000008,2003,22901
56,2031036,400 E WATER ST,400 E WATER ST,2003/04/14 14:59:27+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Heat, spark from friction",14.5,"Electrical wire, cable insulation",38.02999878,-78.48000336,0, ,WATER,400, ,E,ST,E4,3.01999998,2003,22902
57,3030117,1815 STADIUM RD,1815 STADIUM RD,2003/04/14 20:54:59+00,Unintentional,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Undetermined,48.90000153,Undetermined,38.06999969,-78.48999786,6400, ,STADIUM,1815, , ,RD,E6,3.57999992,2003,22901
58,2031056,1360 RUGBY AVE,1360 RUGBY AVE,2003/04/16 01:29:30+00,Other cause, ,Natural vegetation fire,Fireworks,62.20000076, ,38.04999924,-78.48000336,0,Open land or field,RUGBY,1360, , ,AVE,E4,0.44999999,2003,22901
59,3030125,1335 LEE ST,1335 LEE ST,2003/04/17 17:07:42+00,Smoking, ,Natural vegetation fire,Hot ember or ash,7.5999999, ,38.06999969,-78.48999786,0,Graded and cared-for plots of land,LEE,1335, , ,ST,E3,3.67000008,2003,22901
60,2031075, , ,2003/04/17 22:57:02+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Arcing,15.89999962,"Electrical wire, cable insulation",38.00999832,-78.48999786,400,Vehicle parking area, , , , , ,E2,3.98000002,2003,22901
61,2031125, , ,2003/04/23 21:34:12+00,Undetermined, ,Natural vegetation fire,Undetermined,9.19999981, ,38.00999832,-78.48999786,0,Multifamily dwelling, , , , , ,E3,4.42000008,2003,22902
62,2031131, , ,2003/04/24 16:03:38+00,Failure of equipment or heat source,Cargo/trunk area - all vehicles,Mobile property (vehicle) fire,"Heat, spark from friction",34.70000076,"Rubbish, trash, or waste",38.00999832,-78.48999786,0,Vehicle parking area, , , , , ,TRNG1,1.77999997,2003,22903
63,2031165,1513 WESTWOOD RD,1513 WESTWOOD RD,2003/04/27 17:25:02+00,Misuse of fire, ,Natural vegetation fire,Cigarette lighter,31.5, ,38.04000092,-78.48999786,0,Open land or field,WESTWOOD,1513, , ,RD,E2,1.82000005,2003,22903
64,2031175, , ,2003/04/28 17:09:17+00,Undetermined, ,Natural vegetation fire,Undetermined,11.5, ,38.00999832,-78.48999786,0,"Outside or special property, other", , , , , ,E2,3.38000011,2003,22901
65,2031228,119 W MAIN ST,119 W MAIN ST,2003/05/04 21:29:22+00,Unintentional,"Cooking area, kitchen",Structure Fire,"Heat from powered equipment, other",76.90000153,"Interior wall covering excluding drapes, etc.",38.02999878,-78.48000336,1000,"Eating, drinking places",MAIN,119, ,W,ST,LAD01,1.57000005,2003,22902
66,2031242,1300 LONG ST,1300 LONG ST,2003/05/06 18:17:26+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Radiated, conducted heat from operating equipment",18.10000038,Multiple items first ignited,38.02999878,-78.51000214,0, ,LONG,1300, , ,ST,E2,10.56999969,2003,22904
67,2031299,1605 6TH ST SE,1605 6TH ST SE,2003/05/12 00:51:29+00, , ,"Fire, other", ,6.5999999, ,38.02000046,-78.48999786,0,Playground,6TH,1605,SE, ,ST,E5,3.93000007,2003,22902
68,2031324,2104 ARLINGTON BLVD,2104 ARLINGTON BLVD,2003/05/13 15:34:43+00,Equipment, ,Natural vegetation fire,Arcing,101.30000305, ,38.04999924,-78.51000214,0,Open land or field,ARLINGTON,2104, , ,BLVD,E6,4.82000017,2003,22901
69,2031360,1828 WINSTON RD,1828 WINSTON RD,2003/05/16 00:17:39+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Arcing,41.29999924,"Electrical wire, cable insulation",38.04999924,-78.5,10000, ,WINSTON,1828, , ,RD,E2,4.0999999,2003,22903
70,2031424,713 6TH ST SE,713 6TH ST SE,2003/05/22 00:21:32+00,Failure of equipment or heat source,"Cooking area, kitchen",Structure Fire,"Spark, ember, or flame from operating equipment",24.5,Appliance housing or casing,38.02000046,-78.48000336,0,Multifamily dwelling,6TH,713,SE, ,ST,E5,2.1500001,2003,22902
71,2031481,135 LONGWOOD DR,135 LONGWOOD DR,2003/05/27 05:36:16+00,Unintentional,"Cooking area, kitchen",Structure Fire,"Radiated, conducted heat from operating equipment",151.80000305,Household utensils,38.06999969,-78.48999786,10000,1 or 2 family dwelling,LONGWOOD,135, , ,DR,BC4,5.05000019,2003,22901
72,2031539,917 MONTICELLO AVE,917 MONTICELLO AVE,2003/05/31 23:34:00+00,Unintentional,"Laundry area, wash house (laundry)",Structure Fire,"Heat from powered equipment, other",23.39999962,"Linen; other than bedding",38.02000046,-78.48000336,2000,1 or 2 family dwelling,MONTICELLO,917, , ,AVE,E5,0.98000002,2003,22902
73,2031593, , ,2003/06/06 22:55:39+00,Smoking, ,Natural vegetation fire,Hot ember or ash,7, ,38.00999832,-78.48999786,0,Highway or divided highway, , , , , ,E1,3.52999997,2003,22902
74,2031602,410 E JEFFERSON ST,410 E JEFFERSON ST,2003/06/07 18:53:12+00,Unintentional,"Cooking area, kitchen",Structure Fire,"Radiated, conducted heat from operating equipment",29.79999924,"Cooking materials, including edible materials",38.02999878,-78.48000336,0,"Hotel/motel, commercial",JEFFERSON,410, ,E,ST,E5,1.88,2003,22902
75,2031635, , ,2003/06/10 11:49:09+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Heat from powered equipment, other",21.70000076,Flammable liquid/gas - in/from engine or burner,38.00999832,-78.48999786,0, , , , , , ,E7,2.67000008,2003,22902
76,2031696,975 EMMET ST N,975 EMMET ST N,2003/06/15 16:03:13+00,Cause undetermined after investigation,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,Undetermined,44.79999924,Undetermined,38.04999924,-78.5,1000,Vehicle parking area,EMMET,975,N, ,ST,E6,3.17000008,2003,22902
77,2031774,323 MONTICELLO RD,323 MONTICELLO RD,2003/06/22 06:22:36+00,Intentional,"Storage room, area, tank, or bin",Structure Fire,Undetermined,135.5,"Box, carton, bag, basket, barrel",38.02999878,-78.48000336,1000,1 or 2 family dwelling,MONTICELLO,323, , ,RD,BC6,4.57999992,2003,22902
78,2031812,1516 AMHERST ST,1516 AMHERST ST,2003/06/24 17:05:18+00,Failure of equipment or heat source,"Cooking area, kitchen",Structure Fire,"Heat from powered equipment, other",73.5,Interior ceiling cover or finish,38.04000092,-78.48999786,500,1 or 2 family dwelling,AMHERST,1516, , ,ST,E1,2.5,2003,22903
79,2031813, , ,2003/06/24 20:19:50+00,Smoking, ,Natural vegetation fire,Cigarette,6.19999981, ,38.00999832,-78.48999786,0,Highway or divided highway, , , , , ,E1,2.6500001,2003,22901
80,2031829, , ,2003/06/25 23:53:36+00,Misuse of fire, ,Natural vegetation fire, ,8.10000038, ,38.00999832,-78.48999786,0,"Residential street, road or residential driveway", , , , , ,E1,4.3499999,2003,22911
81,2031848,218 E WATER ST,218 E WATER ST,2003/06/27 17:33:35+00,Unintentional,Separate operator/control area of transportation,Mobile property (vehicle) fire,"Hot or smoldering object, other",28,"Upholstered sofa, chair, vehicle seats",38.02999878,-78.48000336,8050, ,WATER,218, ,E,ST,E7,1.73000002,2003,22902
82,3030253,409 MCCORMICK RD,409 MCCORMICK RD,2003/07/01 19:56:16+00,Unintentional,Laboratory,Structure Fire,"Hot or smoldering object, other",33.29999924,Flammable liquid/gas - in/from final container,38.02999878,-78.51000214,0,Laboratory or science lababoratory,MCCORMICK,409, , ,RD,BC1,5.13000011,2003,22903
83,2031905,1904 JEFFERSON PARK,1904 JEFFERSON PARK AVE,2003/07/02 21:00:28+00,Unintentional,"Cooking area, kitchen",Structure Fire,"Heat from powered equipment, other",33,"Liquids, piping, filters, other",38.02999878,-78.51000214,0,Multifamily dwelling,JEFFERSON PARK,1904, , ,AVE,TRNG1,5.3499999,2003,22903
84,3030255,1215 LEE ST,1215 LEE ST,2003/07/05 09:58:57+00,Failure of equipment or heat source,"Laundry area, wash house (laundry)",Structure Fire,"Radiated, conducted heat from operating equipment",20.39999962,"Dust, fiber, lint, including sawdust and excelsior",38.02999878,-78.5,0,Hospital - medical or psychiatric,LEE,1215, , ,ST,E7,3.51999998,2003,22902
85,2031962,1314 CARLTON AVE,1314 CARLTON AVE,2003/07/06 20:49:09+00,Act of nature,Roof surface: exterior,Special outside fire,Lightning,50.40000153,Flammable liquid/gas in container or pipe,38.02000046,-78.47000122,0,"Manufacturing, processing",CARLTON,1314, , ,AVE,E5,0.18000001,2003,22902
86,3030263,151 ENGINEER'S WAY,151 ENGINEER'S WAY,2003/07/12 17:06:10+00,Failure of equipment or heat source,"Duct: hvac, cable, exhaust, heating, or AC",Structure Fire,"Heat from powered equipment, other",81.80000305,"Electrical wire, cable insulation",38.02999878,-78.51000214,0,"Adult education center, college classroom",ENGINEER'S,151, , ,WAY,E6,3.70000005,2003,22903
87,2032043,1207 HOLMES AVE,1207 HOLMES AVE,2003/07/12 22:52:25+00,Failure of equipment or heat source,"Storage: supplies or tools; dead storage",Structure Fire,Flame/torch used for lighting,62.59999847,Flammable liquid/gas - in/from engine or burner,38.02999878,-78.51000214,250,1 or 2 family dwelling,HOLMES,1207, , ,AVE,E1,4.36999989,2003,22904
88,2032052,617 9TH STREET SW,617 9TH ST SW,2003/07/13 20:50:57+00,Intentional,"Exterior, exposed surface",Structure Fire,Match,87.5,"Rubbish, trash, or waste",0,0,0,High school/junior high school/middle school,9TH,617,SW, ,ST,E5,3.93000007,2003,22902
89,2032062,1026 RIVER RD,1026 RIVER RD,2003/07/14 20:13:02+00,Cause undetermined after investigation,Cargo/trunk area - all vehicles,Mobile property (vehicle) fire,Undetermined,28.29999924,"Rubbish, trash, or waste",38.04000092,-78.45999908,0,Street or road in commercial area,RIVER,1026, , ,RD,E1,7.30000019,2003,22902
90,2032097, , ,2003/07/18 13:43:24+00,Failure of equipment or heat source,"Engine area, running gear, wheel area",Mobile property (vehicle) fire,"Radiated, conducted heat from operating equipment",22.10000038,"Electrical wire, cable insulation",38.00999832,-78.48999786,0, , , , , , ,E5,4.26999998,2003,22903
91,2032185,145 BIRDWOOD CT,145 BIRDWOOD CT,2003/07/28 03:29:52+00,Unintentional,"Cooking area, kitchen",Structure Fire,"Heat from powered equipment, other",36.40000153,"Cooking materials, including edible materials",38.04000092,-78.48000336,0,1 or 2 family dwelling,BIRDWOOD,145, , ,CT,E1,3.81999993,2003,22903
92,2032205,315 07 1/2 ST SW,315 7 1/2 ST SW,2003/07/29 22:53:09+00,Failure of equipment or heat source,"Fuel tank, fuel line",Mobile property (vehicle) fire,"Heat from powered equipment, other",39.40000153,Flammable liquid/gas - in/from engine or burner,38.02999878,-78.48000336,900,1 or 2 family dwelling,7 1/2,315,SW, ,ST,E7,2.31999993,2003,22902
