RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
23,Lost/FoundProperty,202100034449,1200,WERTLAND ST,CPD,2021/12/08 20:13:35+00,1513,"Holley, Barrett"
24,Vandalism,202100034435,1100,EMMET ST N,CPD,2021/12/08 19:02:02+00,1402,"Nash, Darius"
25,Assault Simple,202100034428,100,"SHAMROCK RD, 7",CPD,2021/12/08 18:36:01+00,1336,"Lucas, Todd"
26,Lost/FoundProperty,202100034424,600,E MARKET ST,CPD,2021/12/08 17:53:16+00,1253,"Arndt, Brian"
27,Vandalism,202100034400,100,PENICK CT,CPD,2021/12/08 14:35:21+00,0935,"Pendleton, Eric"
28,Suspicious Activity,202100034389,700,PROSPECT AVE,CPD,2021/12/08 13:01:54+00,0801,"Pendleton, Eric"
29,Lost/FoundProperty,202100034388,1300,PEN PARK RD,CPD,2021/12/08 12:26:47+00,0726,"McKeown, Kaitlyn"
30,Hit and Run,202100034381,700,BOLLING AVE,CPD,2021/12/08 05:35:52+00,0035,"Blackwell, Ryan"
31,Larceny - All Other,202100034376,1900,EMMET ST N,CPD,2021/12/08 02:41:18+00,2141,"Houchens, Jamell"
32,Misc - Non-Criminal Call,202180000196,1300,CHESAPEAKE ST,CPD,2021/12/08 00:40:51+00,1940,"Moje, Ashley"
33,Larceny - From Motor Vehicle,202100034367,1500,"CARLTON AVE, 30",CPD,2021/12/07 23:52:43+00,1852,"Arreguin, Arron"
34,Motor Vehicle Theft,202100034364,200,4TH ST NW,CPD,2021/12/07 21:49:16+00,1649,"Holley, Barrett"
35,Larceny - From Motor Vehicle,202100034355,1100,EMMET ST N,CPD,2021/12/07 21:44:02+00,1644,"Smith, Daniel"
36,Motor Vehicle Theft,202100034352,1100,WERTLAND ST,CPD,2021/12/07 21:26:10+00,1626,"Holley, Barrett"
37,Assault Simple,202100034349,,UNIVERSITY CIR,CPD,2021/12/07 21:14:13+00,1614,"Houchens, Jamell"
38,Larceny - All Other,202100034346,4000,"CITY WALK WAY, 143",CPD,2021/12/07 20:49:46+00,1549,"Turner, Devon"
39,Larceny - Theft from Building,202180000195,1500,UNIVERSITY AVE,CPD,2021/12/07 20:25:48+00,1525,"Moje, Ashley"
40,Assault Simple,202100034342,2100,ANGUS RD,CPD,2021/12/07 20:20:07+00,1520,"Hamill, Annmarie"
41,Fraud-wire fraud,202100034334,1900,JEFFERSON PARK AVE,CPD,2021/12/07 19:14:28+00,1414,"Arndt, Brian"
42,Fraud-wire fraud,202100034310,700,"HARRIS ST, 104B",CPD,2021/12/07 15:07:26+00,1007,"Arndt, Brian"
43,Larceny - All Other,202100034300,100,BROOKWOOD DR,CPD,2021/12/07 12:41:55+00,0741,"Pendleton, Eric"
44,Larceny - Theft from Building,202180000194,700,"WALKER SQ, 2B",CPD,2021/12/07 12:04:53+00,0704,"Moje, Ashley"
45,Hit and Run,202100034294,600,EVERGREEN AVE,CPD,2021/12/07 09:27:25+00,0427,"Jones, Mark"
46,Assault Aggravated,202100034286,400,"4TH ST NW, 104",CPD,2021/12/07 06:04:02+00,0104,"Vlasis, Christopher"
47,Assist Citizen - Mental/TDO/ECO,202100034277,,ROOSEVELT BROWN BLVD / KING ST,CPD,2021/12/07 04:04:37+00,2304,"Vlasis, Christopher"
48,Fraud-credit card,202180000193,200,BROOKWOOD DR,CPD,2021/12/07 03:10:55+00,2210,"Moje, Ashley"
49,Larceny - Of Veh Parts/Access,202100034273,700,KING ST,CPD,2021/12/07 02:04:55+00,2104,"Vlasis, Christopher"
50,Suicide Investigation,202100034262,300,HILLSDALE DR,CPD,2021/12/07 00:40:13+00,1940,"Smith, Daniel"
51,Fraud-credit card,202100034261,1400,FOREST RIDGE RD,CPD,2021/12/07 00:16:21+00,1916,"Middleton, Matthew"
52,Assault Simple,202100034236,800,CHERRY AVE,CPD,2021/12/06 21:06:43+00,1606,"Gower, Charles"
53,Motor Vehicle Theft,202100034233,1400,BRIARCLIFF AVE,CPD,2021/12/06 20:29:53+00,1529,"Middleton, Matthew"
54,Larceny - All Other,202100034232,100,14TH ST NW,CPD,2021/12/06 19:58:17+00,1458,"Nash, Darius"
55,Larceny - All Other,202100034229,1000,"WERTLAND ST, 7",CPD,2021/12/06 19:41:53+00,1441,"Tennyson, James"
56,Larceny - All Other,202100034228,2000,STADIUM RD,CPD,2021/12/06 19:23:07+00,1423,"Nash, Darius"
57,Vandalism,202100034221,200,15TH ST NW,CPD,2021/12/06 18:52:43+00,1352,"Nash, Darius"
58,Larceny - From Motor Vehicle,202100034222,1000,5TH ST SW,CPD,2021/12/06 18:50:03+00,1350,"Houchens, Jamell"
59,Vandalism,202100034216,800,NASSAU ST,CPD,2021/12/06 18:05:55+00,1305,"Houchens, Jamell"
60,Hit and Run,202100034215,,HYDRAULIC RD / MICHIE DR,CPD,2021/12/06 17:53:56+00,1253,"TRAVERS, JOSHUA"
61,Lost/FoundProperty,202100034197,1500,CHESAPEAKE ST,CPD,2021/12/06 14:42:26+00,0942,"Middleton, Matthew"
62,Larceny - From Motor Vehicle,202180000192,700,LEXINGTON AVE,CPD,2021/12/06 14:07:01+00,0907,"Moje, Ashley"
63,Hit and Run,202100034190,1900,EMMET ST N,CPD,2021/12/06 13:30:18+00,0830,"TRAVERS, JOSHUA"
64,Assist Citizen - Mental/TDO/ECO,202100034162,1300,"CARLTON AVE, 102",CPD,2021/12/06 03:37:20+00,2237,"Alfonso, Sean"
65,Driving Under the Influence,202100034153,1100,FOREST HILLS AVE,CPD,2021/12/06 02:02:37+00,2102,"Middleton, Matthew"
66,Robbery - Armed,202100034149,1600,UNIVERSITY AVE,CPD,2021/12/06 01:15:27+00,2015,"Eckenroth, Rachel"
67,Lost/FoundProperty,202100034147,200,E MAIN ST,CPD,2021/12/06 00:09:49+00,1909,"Arreguin, Arron"
68,Hit and Run,202100034137,1800,EMMET ST N,CPD,2021/12/05 22:18:24+00,1718,"Smith, Daniel"
69,Assault Simple,202100034131,200,ELLIEWOOD AVE,CPD,2021/12/05 21:05:44+00,1605,"Eckenroth, Rachel"
70,Assist Citizen - Mental/TDO/ECO,202100034130,1300,"CARLTON AVE, 110",CPD,2021/12/05 21:03:31+00,1603,"Arreguin, Arron"
71,Larceny - Shoplifitng,202100034119,200,E MAIN ST,CPD,2021/12/05 16:11:53+00,1111,"Samar, Jack"
72,Motor Vehicle Theft,202100034115,800,CHERRY AVE,CPD,2021/12/05 15:06:38+00,1006,"Tennyson, James"
73,Assist Citizen - Mental/TDO/ECO,202100034114,500,MCINTIRE RD,CPD,2021/12/05 14:21:38+00,0921,"Turner, Devon"
74,Assault Simple,202100034106,1100,5TH ST SW,CPD,2021/12/05 07:37:51+00,0237,"Bise, Collin"
75,Assault Simple,202100034104,,W MAIN ST / 2ND ST NW,CPD,2021/12/05 07:08:35+00,0208,"Bradley, Heather"
76,Assault Simple,202100034085,1200,E MARKET ST,CPD,2021/12/05 04:26:54+00,2326,"Bradley, Heather"
77,Hit and Run,202100034082,1200,E MARKET ST,CPD,2021/12/05 04:03:28+00,2303,"Bradley, Heather"
78,Larceny - All Other,202100034079,1600,"JEFFERSON PARK AVE, 312",CPD,2021/12/05 03:32:25+00,2232,"Whitten, Tobyn"
79,Motor Vehicle Theft,202100034051,1700,KENWOOD LN,CPD,2021/12/04 21:44:43+00,1644,"Houchens, Jamell"
80,Vandalism,202100034049,100,OLD LYNCHBURG RD,CPD,2021/12/04 21:35:48+00,1635,"Lucas, Corbin"
81,Larceny - Shoplifitng,202100034022,400,"W MAIN ST, A",CPD,2021/12/04 17:38:13+00,1238,"Houchens, Jamell"
82,Vandalism,202100034005,1200,AGNESE ST,CPD,2021/12/04 14:39:01+00,0939,"Shiflett, Tammy"
83,Suspicious Activity,202100033997,100,SEMINOLE CT,CPD,2021/12/04 12:38:11+00,0738,"Samar, Jack"
84,Driving Under the Influence,202100033995,1300,E MARKET ST,CPD,2021/12/04 08:05:35+00,0305,"Curry, Brian"
85,Assault Simple,202100033984,1500,TRAILRIDGE RD,CPD,2021/12/04 05:06:28+00,0006,"Patel, Akash"
86,Robbery - Strong Arm,202100033959,,13TH ST NW / JOHN ST,CPD,2021/12/04 02:20:20+00,2120,"Eckenroth, Rachel"
87,Vandalism,202100033957,2100,"IVY RD, 1",CPD,2021/12/04 01:51:33+00,2051,"Eckenroth, Rachel"
88,Missing Person-juvenile,202100033955,2300,ANGUS RD,CPD,2021/12/04 01:06:45+00,2006,"Lee, Chandler"
89,Vandalism,202100033945,800,"HARDY DR, B",CPD,2021/12/04 00:07:05+00,1907,"Holley, Barrett"
90,Larceny - From Motor Vehicle,202100033950,100,BURNET ST,CPD,2021/12/04 00:00:43+00,1900,"Lowe, Courtney"
91,Larceny - From Motor Vehicle,202100033940,100,"MIDDLESEX DR, A",CPD,2021/12/03 23:50:28+00,1850,"Lee, Chandler"
92,Larceny - All Other,202100033941,1400,"GRADY AVE, C5",CPD,2021/12/03 22:08:09+00,1708,"Eckenroth, Rachel"
93,Lost/FoundProperty,202100033923,1900,"JEFFERSON PARK AVE, 40",CPD,2021/12/03 21:13:29+00,1613,"Shiflett, Tammy"
94,Hit and Run,202100033922,,SHAMROCK RD @ JEFFERSON PARK AVE,CPD,2021/12/03 21:01:08+00,1601,"Samar, Jack"
95,Larceny - All Other,202100033906,1800,"JEFFERSON PARK AVE, 402",CPD,2021/12/03 20:22:05+00,1522,"Burnett, James"
96,Vandalism,202100033904,100,LANKFORD AVE,CPD,2021/12/03 19:59:25+00,1459,"Pendleton, Eric"
97,Fraud-false pretense,202100033896,500,1ST ST N,CPD,2021/12/03 19:11:39+00,1411,"Wagner, Christopher "
98,Larceny - All Other,202100033887,1100,"WERTLAND ST, 203",CPD,2021/12/03 17:14:00+00,1214,"Pittman, Terry"
99,Accident - w/out Injuries,202100033890,800,MCINTIRE RD,CPD,2021/12/03 16:21:49+00,1121,"Shiflett, Tammy"
100,Domestic Disturbance,202100033868,1300,"CARLTON AVE, 311",CPD,2021/12/03 15:18:19+00,1018,"Pendleton, Eric"
101,Assist Agency - Other,202100033862,600,E MARKET ST,CPD,2021/12/03 13:57:39+00,0857,"Salyer, Jill"
102,Family Offense - Non-Violent,202100033856,700,ORANGEDALE AVE,CPD,2021/12/03 13:10:04+00,0810,"McKeown, Kaitlyn"
103,Family Offense - Non-Violent,202100033851,500,"HARRIS RD, 105",CPD,2021/12/03 09:32:00+00,0432,"Bradley, Heather"
104,Vandalism,202180000191,200,"14TH ST NW, 11",CPD,2021/12/03 01:09:06+00,2009,"Moje, Ashley"
105,Larceny - Theft from Building,202100033799,100,"CARROLLTON TER, D",CPD,2021/12/02 21:42:36+00,1642,"Gower, Charles"
106,Suspicious Activity,202100033780,800,W MAIN ST,CPD,2021/12/02 19:45:57+00,1445,"Hamill, Annmarie"
107,Assist Citizen - Mental/TDO/ECO,202100033782,700,ELLIOTT AVE,CPD,2021/12/02 19:42:41+00,1442,"Pittman, Terry"
108,Suspicious Activity,202100033773,100,PORTER AVE,CPD,2021/12/02 18:02:25+00,1302,"Barbour, Tremaine"
109,Larceny - Of Veh Parts/Access,202100033772,700,WALKER SQ,CPD,2021/12/02 18:00:05+00,1300,"Holley, Barrett"
110,Traffic Stops,202100033764,,DICE ST @ 5TH ST,CPD,2021/12/02 17:26:47+00,1226,"Pittman, Terry"
111,Larceny - From Motor Vehicle,202100033756,1300,JOHN ST,CPD,2021/12/02 15:51:16+00,1051,"Burnett, James"
112,Larceny - From Motor Vehicle,202100033743,1300,JOHN ST,CPD,2021/12/02 13:20:28+00,0820,"Burnett, James"
113,Death Investigation - DOA,202100033726,1400,WESTWOOD RD,CPD,2021/12/02 05:10:47+00,0010,"Hall, Stephen"
114,Death Investigation - DOA,202100033708,700,ROCKLAND AVE,CPD,2021/12/02 01:49:20+00,2049,"Arreguin, Arron"
115,Warrant Service,202100033707,800,CHERRY AVE,CPD,2021/12/02 01:44:23+00,2044,"Stein, Nathan"
116,Larceny - Theft from Building,202180000190,1200,"WERTLAND ST, 6",CPD,2021/12/02 01:10:20+00,2010,"Moje, Ashley"
117,Assist Citizen - Misc,202100033697,600,E MARKET ST,CPD,2021/12/02 00:02:01+00,1902,"Houchens, Logan"
118,Larceny - Theft from Building,202100033690,700,"WALKER, 1A",CPD,2021/12/01 22:45:19+00,1745,"Holley, Barrett"
119,Burglary,202100033687,1400,"GRADY AVE, 6",CPD,2021/12/01 22:29:16+00,1729,"Chan, William"
120,Larceny - All Other,202100033678,100,STADIUM RD,CPD,2021/12/01 21:21:01+00,1621,"Chan, William"
121,Narcotics,202100033668,1600,GORDON AVE,CPD,2021/12/01 20:01:37+00,1501,"Burnett, James"
122,Larceny - Of Veh Parts/Access,202100033646,1500,E HIGH ST,CPD,2021/12/01 16:40:20+00,1140,"Shiflett, Tammy"
123,Motor Vehicle Theft,202100033645,400,5TH ST SW,CPD,2021/12/01 16:38:56+00,1138,"McKeown, Kaitlyn"
124,Lost/FoundProperty,202100033641,400,E MAIN ST,CPD,2021/12/01 16:01:04+00,1101,"Arndt, Brian"
125,Burglary,202100033636,800,LOCUST AVE,CPD,2021/12/01 14:00:10+00,0900,"Shiflett, Tammy"
126,Larceny - All Other,202100033632,100,PERRY DR,CPD,2021/12/01 13:00:29+00,0800,"Shiflett, Tammy"
127,Suspicious Activity,202100033616,,ANGUS RD / NORTH BERKSHIRE RD,CPD,2021/12/01 03:41:04+00,2241,"Middleton, Matthew"
128,Larceny - From Motor Vehicle,202100033610,1300,CARLTON AVE,CPD,2021/12/01 02:16:56+00,2116,"Arreguin, Arron"
129,Lost/FoundProperty,202100033607,700,PROSPECT AVE,CPD,2021/12/01 01:21:33+00,2021,"Stein, Nathan"
130,Warrant Service,202100033604,,9TH ST SW / CHERRY AVE,CPD,2021/12/01 00:25:37+00,1925,"Middleton, Matthew"
131,Larceny - From Motor Vehicle,202100033603,700,PROSPECT AVE,CPD,2021/12/01 00:24:25+00,1924,"Stein, Nathan"
132,Larceny - All Other,202100033602,400,RIDGE MCINTIRE RD,CPD,2021/12/01 00:16:13+00,1916,"Green, Bryan"
133,Assault Simple,202100033594,400,RIDGE MCINTIRE RD,CPD,2021/11/30 23:11:20+00,1811,"Green, Bryan"
134,Hit and Run,202100033601,800,E MARKET ST,CPD,2021/11/30 22:49:16+00,1749,"Chan, William"
135,Lost/FoundProperty,202100033584,1100,5TH ST SW,CPD,2021/11/30 21:24:51+00,1624,"Chan, William"
136,Suspicious Activity,202100033582,700,CONCORD AVE,CPD,2021/11/30 21:03:29+00,1603,"Lee, Chandler"
137,Vandalism,202100033579,1300,WERTLAND ST,CPD,2021/11/30 20:32:10+00,1532,"Chan, William"
138,Fraud-wire fraud,202100033576,2500,WOODLAND DR,CPD,2021/11/30 20:01:30+00,1501,"McKeown, Kaitlyn"
139,Larceny - Theft from Building,202100033567,4000,"CITY WALK WAY, 213",CPD,2021/11/30 18:12:23+00,1312,"McKeown, Kaitlyn"
140,Larceny - Theft from Building,202100033566,500,E WATER ST,CPD,2021/11/30 17:49:43+00,1249,"Lucas, Todd"
141,Larceny - From Motor Vehicle,202100033558,1800,WINSTON RD,CPD,2021/11/30 16:58:21+00,1158,"Burnett, James"
142,Larceny - All Other,202100033554,500,E MAIN ST,CPD,2021/11/30 15:46:26+00,1046,"Arndt, Brian"
143,Sex Offense,202100033553,500,RUGBY RD,CPD,2021/11/30 15:16:16+00,1016,"Lucas, Todd"
144,Suspicious Person,202100033550,1300,RUGBY RD,CPD,2021/11/30 15:11:33+00,1011,"Nash, Darius"
145,Assault Simple,202100033549,1300,"CARLTON AVE, 305",CPD,2021/11/30 15:11:16+00,1011,"Samar, Jack"
146,Larceny - From Motor Vehicle,202180000188,1000,LINDEN AVE,CPD,2021/11/30 14:53:03+00,0953,"Moje, Ashley"
147,Lost/FoundProperty,202180000187,100,JEFFERSON PARK AVE,CPD,2021/11/30 14:27:00+00,0927,"Moje, Ashley"
148,Driving Under the Influence,202100033542,500,ROUGEMONT AVE,CPD,2021/11/30 08:05:16+00,0305,"Vlasis, Christopher"
149,Trespass,202100033532,1100,5TH ST SW,CPD,2021/11/30 04:46:11+00,2346,"Best, Lisa"
150,Trespass,202100033522,200,RIDGE MCINTIRE RD,CPD,2021/11/30 03:40:14+00,2240,"Alfonso, Sean"
151,Fraud-impersonation,202180000186,100,WATERBURY CT,CPD,2021/11/30 00:36:35+00,1936,"Moje, Ashley"
152,Larceny - All Other,202100033509,900,GRADY AVE,CPD,2021/11/30 00:28:44+00,1928,"Curry, Brian"
153,Death Investigation - DOA,202100033507,2600,JEFFERSON PARK CIR,CPD,2021/11/30 00:22:36+00,1922,"Stein, Nathan"
154,Motor Vehicle Theft,202100033473,1600,GRADY AVE,CPD,2021/11/29 20:09:48+00,1509,"Nash, Darius"
155,Motor Vehicle Theft,202100033468,1400,VIRGINIA AVE,CPD,2021/11/29 19:51:13+00,1451,"Nash, Darius"
156,Larceny - Theft from Building,202180000185,300,MONTICELLO RD,CPD,2021/11/29 19:01:24+00,1401,"Miller, Tiffany "
157,Larceny - Theft from Building,202180000184,1200,"WERTLAND ST, 11",CPD,2021/11/29 17:24:17+00,1224,"Miller, Tiffany "
158,Harassment,202180000183,1000,FOREST HILLS AVE,CPD,2021/11/29 17:13:39+00,1213,"Miller, Tiffany "
159,Hit and Run,202100033456,1400,MELBOURNE RD,CPD,2021/11/29 16:57:47+00,1157,"TRAVERS, JOSHUA"
160,Lost/FoundProperty,202100033446,200,E MAIN ST,CPD,2021/11/29 15:42:33+00,1042,"Arndt, Brian"
161,Assist Agency - Other,202100033437,100,"2ND ST SW, 1",CPD,2021/11/29 14:07:38+00,0907,"Samar, Jack"
162,Larceny - Shoplifitng,202100033442,1200,AVON ST,CPD,2021/11/29 13:38:29+00,0838,"HARPINE, MATTHEW"
163,Larceny - All Other,202100033430,1700,KING MOUNTAIN RD,CPD,2021/11/29 11:57:05+00,0657,"Whitten, Tobyn"
164,Burglary,202100033428,300,"13TH ST NW, 15",CPD,2021/11/29 09:35:07+00,0435,"Miller, Devin"
165,Suspicious Activity,202180000182,,PAGE ST,CPD,2021/11/29 00:39:26+00,1939,"Miller, Tiffany "
166,Motor Vehicle Theft,202100033398,1100,WERTLAND ST,CPD,2021/11/28 22:44:58+00,1744,"Middleton, Matthew"
167,Larceny - From Motor Vehicle,202100033394,800,W MAIN ST,CPD,2021/11/28 21:33:43+00,1633,"Middleton, Matthew"
168,Larceny - Shoplifitng,202100033384,1300,LONG ST,CPD,2021/11/28 20:41:47+00,1541,"Green, Bryan"
169,Larceny - Shoplifitng,202100033378,1800,MONTICELLO RD,CPD,2021/11/28 19:52:04+00,1452,"HARPINE, MATTHEW"
170,Larceny - All Other,202100033381,1000,PRESTON AVE,CPD,2021/11/28 19:38:52+00,1438,"Smith, Daniel"
171,Hit and Run,202100033379,1300,"CARLTON AVE, 103",CPD,2021/11/28 19:30:24+00,1430,"Houchens, Jamell"
172,Death Investigation - DOA,202100033376,100,"MONTE VISTA AVE, B",CPD,2021/11/28 19:29:38+00,1429,"TRAVERS, JOSHUA"
173,Larceny - Of Veh Parts/Access,202100033369,200,ALBEMARLE ST,CPD,2021/11/28 17:18:34+00,1218,"Young, Steven"
174,Motor Vehicle Theft,202100033365,2100,"MICHIE DR, 111",CPD,2021/11/28 14:59:07+00,0959,"TRAVERS, JOSHUA"
175,Assist Citizen - Mental/TDO/ECO,202100033361,1300,"CARLTON AVE, 110",CPD,2021/11/28 14:01:57+00,0901,"HARPINE, MATTHEW"
176,Vandalism,202100033358,1400,SUNRISE PARK LN,CPD,2021/11/28 13:09:13+00,0809,"HARPINE, MATTHEW"
177,Stolen Property Offenses,202100033357,100,MAYWOOD LN,CPD,2021/11/28 10:55:31+00,0555,"Curry, Brian"
178,Shots Fired/Illegal Hunting,202100033347,1200,E MARKET ST,CPD,2021/11/28 06:38:58+00,0138,"Miller, Devin"
179,Assault Simple,202100033345,,14TH ST NW / WERTLAND ST,CPD,2021/11/28 05:56:14+00,0056,"Eckenroth, Rachel"
180,Assault Simple,202100033338,1400,VINE ST,CPD,2021/11/28 05:06:16+00,0006,"Groff, Hayden"
181,Sex Offense-forcible fondling,202100033333,100,14TH ST NW,CPD,2021/11/28 04:03:34+00,2303,"Vlasis, Christopher"
182,Vandalism,202100033330,1500,UNIVERSITY AVE,CPD,2021/11/28 03:36:33+00,2236,"Eckenroth, Rachel"
183,Drunkeness DIP,202100033323,300,RIDGE ST,CPD,2021/11/28 02:54:03+00,2154,"Houchens, Jamell"
184,Hit and Run,202100033317,2200,FONTAINE AVE,CPD,2021/11/28 01:44:12+00,2044,"Whitten, Tobyn"
185,Fraud-impersonation,202180000181,400,"PATON ST, B",CPD,2021/11/27 21:29:02+00,1629,"Moje, Ashley"
186,Assault Intimidation,202100033290,700,RIDGE ST,CPD,2021/11/27 20:46:09+00,1546,"HARPINE, MATTHEW"
187,Hit and Run,202100033289,2100,IVY RD,CPD,2021/11/27 20:23:12+00,1523,"TRAVERS, JOSHUA"
188,Hit and Run,202100033274,1800,"JEFFERSON PARK AVE, 508",CPD,2021/11/27 13:39:28+00,0839,"TRAVERS, JOSHUA"
189,Shots Fired/Illegal Hunting,202100033263,700,PROSPECT AVE,CPD,2021/11/27 07:30:26+00,0230,"Whitten, Tobyn"
190,Drunkeness DIP,202100033257,200,W MAIN ST,CPD,2021/11/27 06:00:18+00,0100,"Curry, Brian"
191,Lost/FoundProperty,202100033251,1100,MILLMONT ST,CPD,2021/11/27 04:50:34+00,2350,"Curry, Brian"
192,Burglary,202100033242,1100,HILLTOP RD,CPD,2021/11/27 02:59:30+00,2159,"Bradley, Heather"
193,Assault Simple,202100033240,200,RAYMOND AVE,CPD,2021/11/27 02:51:38+00,2151,"Eckenroth, Rachel"
194,Burglary,202100033238,2000,SPOTTSWOOD RD,CPD,2021/11/27 02:20:05+00,2120,"Gower, Charles"
195,Assault Simple,202100033233,700,PROSPECT AVE,CPD,2021/11/27 01:08:18+00,2008,"Lucas, Corbin"
196,Larceny - All Other,202100033209,700,BOLLING AVE,CPD,2021/11/26 19:23:51+00,1423,"Pendleton, Eric"
197,Vandalism,202100033203,1100,"FOREST ST, 9",CPD,2021/11/26 18:00:44+00,1300,"KEPLINGER, CHRISTOPHER"
198,Hit and Run,202100033200,,10TH ST NW / W MAIN ST,CPD,2021/11/26 17:36:38+00,1236,"Pittman, Terry"
199,Larceny - From Motor Vehicle,202100033199,,MILLMONT ST / ARLINGTON BLVD,CPD,2021/11/26 17:17:18+00,1217,"KEPLINGER, CHRISTOPHER"
200,Assault Aggravated,202100033187,100,E MARKET ST,CPD,2021/11/26 13:49:50+00,0849,"Shiflett, Tammy"
201,Stolen Property Offenses,202100033188,200,DOUGLAS AVE,CPD,2021/11/26 13:45:21+00,0845,"Pendleton, Eric"
202,Suspicious Activity,202100033169,1400,GRACE ST,CPD,2021/11/26 05:08:44+00,0008,"Curry, Brian"
203,Assault Simple,202100033167,600,"9TH ST SW, A",CPD,2021/11/26 04:07:24+00,2307,"Patel, Akash"
204,Larceny - Of Veh Parts/Access,202100033149,300,HILLSDALE DR,CPD,2021/11/25 22:24:02+00,1724,"Lee, Chandler"
205,Lost/FoundProperty,202100033137,600,E MARKET ST,CPD,2021/11/25 14:27:03+00,0927,"McKeown, Kaitlyn"
206,Suspicious Activity,202100033132,1200,HOLMES AVE,CPD,2021/11/25 12:02:21+00,0702,"Curry, Brian"
207,Larceny - All Other,202100033130,100,14TH ST NW,CPD,2021/11/25 08:42:40+00,0342,"Patel, Akash"
208,Stalking,202100033129,100,"RAYMOND AVE, A",CPD,2021/11/25 07:23:32+00,0223,"Bradley, Heather"
209,Motor Vehicle Theft,202100033109,900,GROVE ST,CPD,2021/11/25 01:03:12+00,2003,"Holley, Barrett"
210,Assist Agency - Backup/Assist,202100033103,1100,5TH ST SW,CPD,2021/11/24 23:32:19+00,1832,"Gower, Charles"
211,Hit and Run,202100033101,2300,FONTAINE AVE,CPD,2021/11/24 23:24:10+00,1824,"Eckenroth, Rachel"
212,Accident w/Injuries,202100033085,,GARRETT ST / 2ND ST SE,CPD,2021/11/24 20:09:40+00,1509,"Pendleton, Eric"
213,Prostitution,202100033088,1100,"5TH ST SW, 332",CPD,2021/11/24 19:40:02+00,1440,"Stein, Nathan"
214,Vandalism,202100033069,200,W MAIN ST,CPD,2021/11/24 17:36:00+00,1236,"Pendleton, Eric"
215,Larceny - Of Veh Parts/Access,202100033065,400,CHERRY AVE,CPD,2021/11/24 16:32:19+00,1132,"Tennyson, James"
216,Larceny - Shoplifitng,202100033062,900,GRADY AVE,CPD,2021/11/24 16:27:24+00,1127,"McKeown, Kaitlyn"
217,Larceny - All Other,202100033052,200,E MAIN ST,CPD,2021/11/24 15:32:40+00,1032,"Tennyson, James"
