RecordID_Int,ParcelNumber,Description,CardNumber,cvgiscityvw_OpenData_Parcels_AdditionsArea,StreetName,StreetNumber,Unit
150,010026000,Carport,,251,WESTVIEW RD,1852,
151,010026000,Open Porch,,107,WESTVIEW RD,1852,
152,010027000,First Floor,,2321,FIELD RD,1863,
153,010027000,Stone Patio,,897,FIELD RD,1863,
154,010027000,Stoop,,36,FIELD RD,1863,
155,010028000,First Floor,,2625,FIELD RD,1865,
156,010028000,Open Porch,,127,FIELD RD,1865,
157,010028000,Stone Patio,,454,FIELD RD,1865,
158,010029000,First Floor,,2295,FIELD RD,1867,
159,010029000,Carport,,663,FIELD RD,1867,
160,010029000,Finished Two-Thirds,,1305,FIELD RD,1867,
161,010029000,Open Porch,,48,FIELD RD,1867,
162,010029000,Stone Patio,,231,FIELD RD,1867,
163,010029000,Storage,,51,FIELD RD,1867,
164,010029000,Stoop,,45,FIELD RD,1867,
165,010030000,First Floor,,1936,FIELD RD,1869,
166,010030000,Cellar,,434,FIELD RD,1869,
167,010030000,Concrete Patio,,53,FIELD RD,1869,
168,010030000,Carport,,588,FIELD RD,1869,
169,010030000,Finished Attic,,1736,FIELD RD,1869,
170,010030000,Stone Patio,,540,FIELD RD,1869,
171,010030000,Sunroom,,90,FIELD RD,1869,
172,010030100,First Floor,,1222,FIELD RD,1871,
173,010030100,Basement,,1400,FIELD RD,1871,
174,010030100,Deck,,355,FIELD RD,1871,
175,010030100,Finished Attic,,1647,FIELD RD,1871,
176,010030100,Screened Porch,,78,FIELD RD,1871,
177,010030100,Stoop,,35,FIELD RD,1871,
178,010031000,First Floor,,2069,FIELD RD,1873,
179,010031000,Finished Attic,,2059,FIELD RD,1873,
180,010031000,Glass Enclosed 1/Sty,,143,FIELD RD,1873,
181,010031000,Stone Patio,,54,FIELD RD,1873,
182,010032000,First Floor,,2676,FIELD RD,1877,
183,010032000,Second Floor,,748,FIELD RD,1877,
184,010032000,Basement,,1482,FIELD RD,1877,
185,010032000,Deck,,210,FIELD RD,1877,
186,010032000,Stoop,,98,FIELD RD,1877,
187,010033000,First Floor,,1368,FIELD RD,1884,
188,010033000,Basement,,1368,FIELD RD,1884,
189,010033000,Open Porch,,162,FIELD RD,1884,
190,010033000,Stoop,,136,FIELD RD,1884,
191,010034000,First Floor,,1772,FIELD RD,1882,
192,010034000,Three Quarter Story,,1472,FIELD RD,1882,
193,010034000,Basement,,1472,FIELD RD,1882,
194,010034000,Cathedral Ceiling,,150,FIELD RD,1882,
195,010034000,Deck,,160,FIELD RD,1882,
196,010034000,Finished Half-Story,,159,FIELD RD,1882,
197,010034000,Open Porch,,175,FIELD RD,1882,
198,010034000,Stone Patio,,150,FIELD RD,1882,
199,010034000,Storage,,150,FIELD RD,1882,
200,010035000,First Floor,,1249,FIELD RD,1874,
201,010035000,Basement,,1141,FIELD RD,1874,
202,010035000,Finished Half-Story,,837,FIELD RD,1874,
203,010035000,Stone Patio,,304,FIELD RD,1874,
204,010035000,Stoop,,78,FIELD RD,1874,
205,010036000,First Floor,,2398,FIELD RD,1872,
206,010036000,Basement,,1550,FIELD RD,1872,
207,010036000,Finished Half-Story,,1662,FIELD RD,1872,
208,010036000,Open Porch,,36,FIELD RD,1872,
209,010036000,Slab,,12,FIELD RD,1872,
210,010036000,Stoop,,20,FIELD RD,1872,
211,010037000,First Floor,,1950,FIELD RD,1870,
212,010037000,Basement,,1780,FIELD RD,1870,
213,010037000,Finished Two-Thirds,,1780,FIELD RD,1870,
214,010037000,Open Porch,,238,FIELD RD,1870,
215,010038000,First Floor,,2400,FIELD RD,1868,
216,010038000,Second Floor,,1080,FIELD RD,1868,
217,010038000,Basement,,2160,FIELD RD,1868,
218,010038000,Deck,,272,FIELD RD,1868,
219,010038000,Open Porch,,65,FIELD RD,1868,
220,010038000,Screened Porch,,144,FIELD RD,1868,
221,010039000,First Floor,,1810,FIELD RD,1866,
222,010039000,Basement,,1640,FIELD RD,1866,
223,010039000,Concrete Patio,,418,FIELD RD,1866,
224,010039000,Open Porch,,28,FIELD RD,1866,
225,010039000,Stoop,,40,FIELD RD,1866,
226,010040000,First Floor,,1596,FIELD RD,1864,
227,010040000,Basement,,1596,FIELD RD,1864,
228,010040000,Screened Porch,,200,FIELD RD,1864,
229,010040000,Slab,,8,FIELD RD,1864,
230,010040000,Stoop,,28,FIELD RD,1864,
231,010041000,First Floor,,3992,FENDALL TER,906,
232,010041000,Basement,,2971,FENDALL TER,906,
233,010041000,Deck,,135,FENDALL TER,906,
234,010041000,Open Porch,,108,FENDALL TER,906,
235,010041000,Garage,,717,FENDALL TER,906,
236,010041000,Open W/Cover 2/Sty,,640,FENDALL TER,906,
237,010041000,Solarium,,1021,FENDALL TER,906,
238,010041000,Stone Patio,,320,FENDALL TER,906,
239,010041000,Vaulted Ceiling,,1134,FENDALL TER,906,
240,010042000,First Floor,,1844,WINSTON RD,1859,
241,010042000,Second Floor,,1743,WINSTON RD,1859,
242,010042000,Basement,,1239,WINSTON RD,1859,
243,010042000,Canopy,,35,WINSTON RD,1859,
244,010042000,Deck,,307,WINSTON RD,1859,
245,010042000,Stoop,,35,WINSTON RD,1859,
246,010043000,First Floor,,1350,WINSTON RD,1861,
247,010043000,Basement,,1231,WINSTON RD,1861,
248,010043000,Cathedral Ceiling,,1231,WINSTON RD,1861,
249,010043000,Deck,,704,WINSTON RD,1861,
250,010043000,Open Porch,,232,WINSTON RD,1861,
251,010043000,Stone Patio,,140,WINSTON RD,1861,
252,010044000,First Floor,,2117,WINSTON RD,1863,
253,010044000,Second Floor,,1519,WINSTON RD,1863,
254,010044000,Basement,,1519,WINSTON RD,1863,
255,010044000,Carport,,340,WINSTON RD,1863,
256,010044000,Open Porch,,50,WINSTON RD,1863,
257,010044000,Solarium,,370,WINSTON RD,1863,
258,010044000,Stone Patio,,402,WINSTON RD,1863,
259,010045000,First Floor,,1780,WINSTON RD,1867,
260,010045000,Second Floor,,1022,WINSTON RD,1867,
261,010045000,Basement,,588,WINSTON RD,1867,
262,010045000,Open Porch,,112,WINSTON RD,1867,
263,010045000,Glass Enclosed 1/Sty,,240,WINSTON RD,1867,
264,010045000,Garage,,210,WINSTON RD,1867,
265,010046000,First Floor,,1198,FENDALL TER,901,
266,010046000,Second Floor,,936,FENDALL TER,901,
267,010046000,Basement,,1188,FENDALL TER,901,
268,010046000,Canopy,,65,FENDALL TER,901,
269,010046000,Finished Half-Story,,252,FENDALL TER,901,
270,010046000,Open Porch,,24,FENDALL TER,901,
271,010046000,Stone Patio,,365,FENDALL TER,901,
272,010046000,Stoop,,14,FENDALL TER,901,
273,010047000,First Floor,,2669,FENDALL TER,905,
274,010047000,Second Floor,,1280,FENDALL TER,905,
275,010047000,Basement,,2329,FENDALL TER,905,
276,010047000,Concrete Patio,,204,FENDALL TER,905,
277,010047000,Cathedral Ceiling,,340,FENDALL TER,905,
278,010047000,Open Porch,,30,FENDALL TER,905,
279,010047000,Unfinished Attic,,1049,FENDALL TER,905,
280,010048000,First Floor,,5678,EMMET ST N,918,
281,010048000,Second Floor,,5678,EMMET ST N,918,
282,010048000,Third Floor,,5678,EMMET ST N,918,
283,010048200,First Floor,,5678,EMMET ST N,914,
284,010048200,Second Floor,,5678,EMMET ST N,914,
285,010048200,Third Floor,,5678,EMMET ST N,914,
286,020002000,First Floor,,400,BARRACKS RD,0,
287,020002000,Basement,,400,BARRACKS RD,0,
288,020002000,Finished Half-Story,,400,BARRACKS RD,0,
289,020003000,First Floor,,1781,BARRACKS RD,1910,
290,020003000,Second Floor,,1271,BARRACKS RD,1910,
291,020003000,Basement,,1271,BARRACKS RD,1910,
292,020003000,Concrete Patio,,525,BARRACKS RD,1910,
293,020003000,Open Porch,,926,BARRACKS RD,1910,
294,020003000,Garage,,399,BARRACKS RD,1910,
295,020003000,Storage,,399,BARRACKS RD,1910,
296,020003000,Stoop,,84,BARRACKS RD,1910,
297,020003000,First Floor,,308,BARRACKS RD,1910,
298,020004000,First Floor,,1370,BUCKINGHAM RD,120,
299,020004000,Basement,,1350,BUCKINGHAM RD,120,
300,020004000,Slab,,20,BUCKINGHAM RD,120,
301,020004000,Stone Patio,,729,BUCKINGHAM RD,120,
302,020004000,Stoop,,24,BUCKINGHAM RD,120,
303,020005000,First Floor,,1800,BUCKINGHAM RD,128,
304,020005000,Second Floor,,1420,BUCKINGHAM RD,128,
305,020005000,Basement,,1244,BUCKINGHAM RD,128,
306,020005000,Finished Enclosed Porch,,220,BUCKINGHAM RD,128,
307,020005000,Glass Enclosed 1/Sty,,210,BUCKINGHAM RD,128,
308,020005000,Garage,,308,BUCKINGHAM RD,128,
309,020005000,Stone Patio,,462,BUCKINGHAM RD,128,
310,020005000,Stoop,,12,BUCKINGHAM RD,128,
311,020005000,Unfinished Attic,,936,BUCKINGHAM RD,128,
312,020006000,First Floor,,1769,BUCKINGHAM RD,108,
313,020006000,W/Bsmt Brick 1/Sty,,10,BUCKINGHAM RD,108,
314,020006000,Basement,,1790,BUCKINGHAM RD,108,
315,020006000,Deck,,522,BUCKINGHAM RD,108,
316,020006000,Finished Attic,,1750,BUCKINGHAM RD,108,
317,020006000,Finished Enclosed Porch,,40,BUCKINGHAM RD,108,
318,020006000,Stone Patio,,32,BUCKINGHAM RD,108,
319,020006000,Stoop,,24,BUCKINGHAM RD,108,
320,020006100,First Floor,,1288,BUCKINGHAM RD,110,
321,020006100,Second Floor,,552,BUCKINGHAM RD,110,
322,020006100,Basement,,736,BUCKINGHAM RD,110,
323,020006100,Concrete Patio,,315,BUCKINGHAM RD,110,
324,020006100,Deck,,688,BUCKINGHAM RD,110,
325,020006100,Stoop,,120,BUCKINGHAM RD,110,
326,020006200,First Floor,,1200,BUCKINGHAM RD,114,
327,020006200,Basement,,1200,BUCKINGHAM RD,114,
328,020006200,Deck,,388,BUCKINGHAM RD,114,
329,020006200,Open Porch,,18,BUCKINGHAM RD,114,
330,020006200,Slab,,20,BUCKINGHAM RD,114,
331,020006300,First Floor,,1247,BUCKINGHAM RD,118,
332,020006300,Basement,,1247,BUCKINGHAM RD,118,
333,020006300,Concrete Patio,,645,BUCKINGHAM RD,118,
334,020006300,Deck,,312,BUCKINGHAM RD,118,
335,020006300,Finished Two-Thirds,,1247,BUCKINGHAM RD,118,
336,020006300,Stoop,,20,BUCKINGHAM RD,118,
337,020007000,First Floor,,1746,BUCKINGHAM RD,104,
338,020007000,Basement,,1746,BUCKINGHAM RD,104,
339,020007000,Finished Half-Story,,1650,BUCKINGHAM RD,104,
340,020007000,Open Porch,,40,BUCKINGHAM RD,104,
341,020007000,Screened Porch,,312,BUCKINGHAM RD,104,
342,020007000,Trex Deck,,228,BUCKINGHAM RD,104,
343,020008000,First Floor,,783,BARRACKS RD,1820,
344,020008000,Basement,,1069,BARRACKS RD,1820,
345,020008000,Canopy,,216,BARRACKS RD,1820,
346,020008000,Concrete Patio,,27,BARRACKS RD,1820,
347,020008000,Finished Attic,,910,BARRACKS RD,1820,
348,020008000,Finished Enclosed Porch,,159,BARRACKS RD,1820,
349,020008000,Frame Enclosed 1/Sty,,63,BARRACKS RD,1820,
350,020008000,Screened Porch,,216,BARRACKS RD,1820,
351,020008000,Stoop,,24,BARRACKS RD,1820,
352,020009000,First Floor,,1171,BARRACKS RD,1812,
353,020009000,Basement,,1158,BARRACKS RD,1812,
354,020009000,Carport,,240,BARRACKS RD,1812,
355,020009000,Open Porch,,108,BARRACKS RD,1812,
356,020009000,Slab,,56,BARRACKS RD,1812,
357,020010000,First Floor,,1382,HOWARD DR,116,
358,020010000,Basement,,1412,HOWARD DR,116,
359,020010000,Concrete Patio,,104,HOWARD DR,116,
360,020010000,Finished Attic,,1382,HOWARD DR,116,
361,020010000,Open Porch,,30,HOWARD DR,116,
362,020010000,Screened Porch,,232,HOWARD DR,116,
363,020010000,Stone Patio,,32,HOWARD DR,116,
364,020011000,First Floor,,1608,HOWARD DR,114,
365,020011000,Second Floor,,1050,HOWARD DR,114,
366,020011000,Basement,,1261,HOWARD DR,114,
367,020011000,Finished Half-Story,,1320,HOWARD DR,114,
368,020011000,Open Porch,,56,HOWARD DR,114,
369,020011000,Slab,,16,HOWARD DR,114,
370,020011000,Stoop,,25,HOWARD DR,114,
371,020012000,First Floor,,1435,HOWARD DR,112,
372,020012000,Basement,,1435,HOWARD DR,112,
373,020012000,Screened Porch,,152,HOWARD DR,112,
374,020012000,Slab,,35,HOWARD DR,112,
375,020012000,Stoop,,60,HOWARD DR,112,
376,020012000,Unfinished Utility Area,,32,HOWARD DR,112,
377,020013000,First Floor,,1060,HOWARD DR,110,
378,020013000,Basement,,1083,HOWARD DR,110,
379,020013000,Finished Attic,,945,HOWARD DR,110,
380,020013000,Finished Enclosed Porch,,138,HOWARD DR,110,
381,020013000,Screened Porch,,91,HOWARD DR,110,
382,020013000,Stoop,,65,HOWARD DR,110,
383,020014000,First Floor,,816,BARRACKS RD,1808,
384,020014000,Basement,,852,BARRACKS RD,1808,
385,020014000,Finished Half-Story,,852,BARRACKS RD,1808,
386,020014000,Open Porch,,57,BARRACKS RD,1808,
387,020014000,Frame Enclosed 1/Sty,,319,BARRACKS RD,1808,
388,020014000,Stoop,,24,BARRACKS RD,1808,
389,020015000,First Floor,,1527,BARRACKS RD,1806,
390,020015000,Basement,,1384,BARRACKS RD,1806,
391,020015000,Deck,,336,BARRACKS RD,1806,
392,020015000,Open Porch,,180,BARRACKS RD,1806,
393,020015000,Screened Porch,,88,BARRACKS RD,1806,
394,020015000,Stone Patio,,112,BARRACKS RD,1806,
395,020015000,Vaulted Ceiling,,143,BARRACKS RD,1806,
396,020016000,First Floor,,1374,BARRACKS RD,1800,
397,020016000,Second Floor,,806,BARRACKS RD,1800,
398,020016000,Deck,,114,BARRACKS RD,1800,
399,020016000,Finished Attic,,806,BARRACKS RD,1800,
400,020016100,First Floor,,780,RUGBY RD,1107,
401,020016100,Second Floor,,780,RUGBY RD,1107,
402,020016100,Brick Patio,,180,RUGBY RD,1107,
403,020016100,Finished Attic,,780,RUGBY RD,1107,
404,020016100,Open Porch,,240,RUGBY RD,1107,
405,020016100,Screened Porch,,392,RUGBY RD,1107,
406,020016200,First Floor,,1073,RUGBY RD,1109,
407,020016200,Second Floor,,1001,RUGBY RD,1109,
408,020016200,Deck,,165,RUGBY RD,1109,
409,020016200,Open Porch,,40,RUGBY RD,1109,
410,020017000,First Floor,,1235,RUGBY RD,1105,
411,020017000,Basement,,988,RUGBY RD,1105,
412,020017000,Finished Half-Story,,988,RUGBY RD,1105,
413,020017000,Open Porch,,197,RUGBY RD,1105,
414,020019000,First Floor,,2059,RUGBY RD,1101,
415,020019000,Second Floor,,2059,RUGBY RD,1101,
416,020019000,Bay Window,,38,RUGBY RD,1101,
417,020019000,Basement,,976,RUGBY RD,1101,
418,020019000,Finished Attic,,798,RUGBY RD,1101,
419,020019000,Open Porch,,297,RUGBY RD,1101,
420,020019000,Garage,,798,RUGBY RD,1101,
421,020019000,Open W/Cover 2/Sty,,180,RUGBY RD,1101,
422,020019100,First Floor,,1429,ROSSER LN,947,
423,020019100,Second Floor,,1429,ROSSER LN,947,
424,020019100,Basement,,953,ROSSER LN,947,
425,020019100,Open Porch,,82,ROSSER LN,947,
426,020019100,Open W/Cover 2/Sty,,360,ROSSER LN,947,
427,020020000,First Floor,,3932,ROSSER LN,945,
428,020020000,Basement,,510,ROSSER LN,945,
429,020020000,Patio,,430,ROSSER LN,945,
430,020020000,Slab,,16,ROSSER LN,945,
431,020020000,Storage,,120,ROSSER LN,945,
432,020020000,Stoop,,108,ROSSER LN,945,
433,020021000,First Floor,,1560,ROSSER LN,941,
434,020021000,Second Floor,,1240,ROSSER LN,941,
435,020021000,Basement,,1240,ROSSER LN,941,
436,020021000,Stone Patio,,120,ROSSER LN,941,
437,020021000,Stoop,,40,ROSSER LN,941,
438,020022000,First Floor,,1163,ROSSER LN,939,
439,020022000,Second Floor,,1175,ROSSER LN,939,
440,020022000,Basement,,1175,ROSSER LN,939,
441,020022000,Deck,,136,ROSSER LN,939,
442,020022000,Stoop,,50,ROSSER LN,939,
443,020023000,First Floor,,2238,WESTVIEW RD,1801,
444,020023000,Second Floor,,1518,WESTVIEW RD,1801,
445,020023000,Basement,,720,WESTVIEW RD,1801,
446,020023000,Canopy,,184,WESTVIEW RD,1801,
447,020023000,Concrete Patio,,529,WESTVIEW RD,1801,
448,020023000,Deck,,240,WESTVIEW RD,1801,
449,020023000,Open Porch,,300,WESTVIEW RD,1801,
450,020023000,Garage,,529,WESTVIEW RD,1801,
451,020023000,Stone Patio,,432,WESTVIEW RD,1801,
452,020023100,First Floor,,3373,WESTVIEW RD,1829,
453,020023100,Basement,,1910,WESTVIEW RD,1829,
454,020023100,Deck,,288,WESTVIEW RD,1829,
455,020023100,Finished Half-Story,,1910,WESTVIEW RD,1829,
456,020023100,Garage Under,,510,WESTVIEW RD,1829,
457,020023100,Pergola,,330,WESTVIEW RD,1829,
458,020023100,Stone Patio,,328,WESTVIEW RD,1829,
459,020023100,Stoop,,52,WESTVIEW RD,1829,
460,020023100,Sunroom,,510,WESTVIEW RD,1829,
461,020023A00,First Floor,,1632,ROSSER LN,921,
462,020023A00,Three Quarter Story,,624,ROSSER LN,921,
463,020023A00,Bay Window,,12,ROSSER LN,921,
464,020023A00,Basement,,864,ROSSER LN,921,
465,020023A00,Concrete Patio,,288,ROSSER LN,921,
466,020023A00,Finished Half-Story,,576,ROSSER LN,921,
467,020023A00,Open Porch,,70,ROSSER LN,921,
468,020023A00,Unfinished Half-Story,,432,ROSSER LN,921,
469,020024000,First Floor,,2082,WESTVIEW RD,1833,
470,020024000,Second Floor,,1624,WESTVIEW RD,1833,
471,020024000,Basement,,919,WESTVIEW RD,1833,
472,020024000,Cellar,,705,WESTVIEW RD,1833,
473,020024000,Open Porch,,308,WESTVIEW RD,1833,
474,020024000,Garage,,304,WESTVIEW RD,1833,
475,020024000,Stone Patio,,140,WESTVIEW RD,1833,
476,020024000,Stoop,,32,WESTVIEW RD,1833,
477,020024000,Unfinished Attic,,1624,WESTVIEW RD,1833,
478,020025000,First Floor,,2213,WESTVIEW RD,1839,
479,020025000,Second Floor,,1275,WESTVIEW RD,1839,
480,020025000,Basement,,1307,WESTVIEW RD,1839,
481,020025000,Open Porch,,424,WESTVIEW RD,1839,
482,020025000,Patio,,579,WESTVIEW RD,1839,
483,020025000,Storage,,100,WESTVIEW RD,1839,
484,020025000,Stoop,,42,WESTVIEW RD,1839,
485,020025000,Sunroom,,195,WESTVIEW RD,1839,
486,020026000,First Floor,,1484,WESTVIEW RD,1861,
487,020026000,Second Floor,,1239,WESTVIEW RD,1861,
488,020026000,Basement,,1527,WESTVIEW RD,1861,
489,020026000,Open Porch,,302,WESTVIEW RD,1861,
490,020026000,Garage,,308,WESTVIEW RD,1861,
491,020026000,Stone Patio,,582,WESTVIEW RD,1861,
492,020027000,First Floor,,2878,WESTVIEW RD,1848,
493,020027000,Brick Patio,,317,WESTVIEW RD,1848,
494,020027000,Basement,,765,WESTVIEW RD,1848,
495,020027000,Deck,,128,WESTVIEW RD,1848,
496,020027000,Finished Attic,,1825,WESTVIEW RD,1848,
