X,Y,OBJECTID,geo_MAT_Status,geo_MAT_ST_NUMBER,geo_MAT_PREDIR,geo_MAT_ST_NAME,geo_MAT_SUFFIX,geo_MAT_POSTDIR,centroid_BUILD_STREET,unit,address,geo_MAT_MasterAddressID
-78.4936206266398,38.0442210090207,10470428,,933, ,HEMLOCK,LN, ,HEMLOCK LN,,933 HEMLOCK LN,90273
-78.5041080065626,38.031199051624,10470429,,415, ,BRANDON,AVE, ,BRANDON AVE,1,415 BRANDON AVE #1,90348
-78.5111395762444,38.0273335265915,10470430,,1900, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,8,1900 JEFFERSON PARK AVE #8,90448
-78.4782701937689,38.0407724647407,10470431,,1728, ,ALLIED,ST, ,ALLIED ST,2,1728 ALLIED ST #2,90528
-78.5064081727118,38.0497608541178,10470432,,2101, ,ARLINGTON,BLVD, ,ARLINGTON BLVD,525,2101 ARLINGTON BLVD #525,90605
-78.5089743229379,38.0289359174805,10470433,,1800, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,36,1800 JEFFERSON PARK AVE #36,90702
-78.4755543224287,38.0320462456595,10470434,,415, ,7TH,ST,NE,8TH ST NE,,415 7TH ST NE,90762
-78.4694564230976,38.0221454333185,10470435,,1302,,CARLTON,AVE,,CARLTON AVE,B,1302 CARLTON AVE #B,90806
-78.4810523819742,38.0285876324947,10470436,,323,,2ND,ST,SE,2ND ST SE,301,323 2ND ST SE #301,106281
-78.4940907196948,38.0424448079233,10470437,,820, ,CABELL,AVE, ,CABELL AVE,B,820 CABELL AVE #B,90909
-78.5137494121,38.0260727325731,10470438,,2104, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,B,2104 JEFFERSON PARK AVE #B,90960
-78.5007082685534,38.0485074705727,10470439,,1870, ,FIELD,RD, ,FIELD RD,,1870 FIELD RD,91013
-78.5093016425332,38.0258207229655,10470440,,215, ,SHAMROCK,RD, ,SHAMROCK RD,A,215 SHAMROCK RD #A,91157
-78.4803731078219,38.0311032580135,10470441,,114, ,2ND,ST,NE,2ND ST NE,,114 2ND ST NE,91256
-78.4884347427966,38.0382822968471,10470442,,624,,BOOKER,ST,,BOOKER ST,,624 BOOKER ST,106273
-78.4681622888237,38.0173389267928,10470443,,824,,NASSAU,ST,,NASSAU ST,,824 NASSAU ST,106274
-78.4799250179614,38.0339159888327,10470444,,430,,1ST,ST,N,1ST ST N,,430 1ST ST N,105522
-78.5024130193477,38.0513721021486,10470445,,1037, ,EMMET,ST,N,EMMET ST N,,1037 EMMET ST N,105536
-78.5021635119095,38.051602276019,10470446,,1107, ,EMMET,ST,N,EMMET ST N,D,1107 EMMET ST N #D,105537
-78.5020471147731,38.0517074643454,10470447,,1123, ,EMMET,ST,N,EMMET ST N,A,1123 EMMET ST N #A,105538
-78.5039188126278,38.0500435530468,10470448,,975, ,EMMET,ST,N,EMMET ST N,B,975 EMMET ST N #B,105539
-78.4898212559937,38.0480523092281,10470449,,1630, ,OXFORD,RD, ,OXFORD RD,,1630 OXFORD RD,97164
-78.4995152407798,38.0369816009691,10470450,,301,,15TH,ST,NW,15TH ST NW,2017,301 15TH ST NW #2017,97217
-78.4855884580919,38.0513606181405,10470451,,1625, ,GREENLEAF,LN, ,GREENLEAF LN,,1625 GREENLEAF LN,97271
-78.4895841092559,38.0326423476475,10470452,,212, ,CREAM,ST, ,CREAM ST,,212 CREAM ST,97369
-78.5200253645348,38.0228825216645,10470453,,211, ,STRIBLING,AVE, ,STRIBLING AVE,B,211 STRIBLING AVE #B,97450
-78.4995152407798,38.0369816009691,10470454,,301,,15TH,ST,NW,15TH ST NW,5021,301 15TH ST NW #5021,97518
-78.4928199547713,38.0444669036825,10470455,,1208, ,PRESTON,AVE, ,PRESTON AVE,,1208 PRESTON AVE,97571
-78.4747597957021,38.024869146369,10470456,,228, ,DOUGLAS,AVE, ,DOUGLAS AVE,,228 DOUGLAS AVE,97625
-78.4653658391762,38.0427271421248,10470457,,810, ,NORTH,AVE, ,NORTH AVE,,810 NORTH AVE,97678
-78.4927525534146,38.017344793255,10470458,,922, ,RAYMOND,RD, ,RAYMOND RD,,922 RAYMOND RD,97736
-78.491088127009,38.0187295664938,10470459,,142, ,BAYLOR,LN, ,BAYLOR LN,,142 BAYLOR LN,97781
-78.4705965494212,38.0155496764482,10470460,,1007, ,LINDEN,AVE, ,LINDEN AVE,,1007 LINDEN AVE,97833
-78.5063623705591,38.0318187992836,10470461,,122, ,OAKHURST,CIR, ,OAKHURST CIR,4,122 OAKHURST CIR #4,97932
-78.4746933109373,38.0269667969357,10470462,,118, ,GOODMAN,ST, ,GOODMAN ST,,118 GOODMAN ST,98014
-78.5131000799544,38.0273529034491,10470463,,107, ,WASHINGTON,AVE, ,WASHINGTON AVE,A,107 WASHINGTON AVE #A,98113
-78.4970550260138,38.063118851892,10470464,,2304, ,NORTH BERKSHIRE,RD, ,NORTH BERKSHIRE RD,A,2304 NORTH BERKSHIRE RD #A,98204
-78.5109949101893,38.028207234631,10470465,,1819, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,202,1819 JEFFERSON PARK AVE #202,98292
-78.4860202486378,38.0608232451028,10470466,,2111, ,MICHIE,DR, ,MICHIE DR,2,2111 MICHIE DR #2,98360
-78.4844638126793,38.0358696206861,10470467,,700, ,HARRIS,ST, ,HARRIS ST,201B,700 HARRIS ST #201B,98405
-78.4970402439105,38.0402197843491,10470468,,1410, ,GRADY,AVE, ,GRADY AVE,19,1410 GRADY AVE #19,98451
-78.478601756211,38.0208450812923,10470469,,810, ,MONTROSE,AVE, ,MONTROSE AVE,,810 MONTROSE AVE,98504
-78.5016291909583,38.0515037487327,10470470,,1105, ,EMMET,ST,N,EMMET ST N,,1105 EMMET ST N,105540
-78.463713852023,38.0469573352719,10470471,,622, ,ELIZABETH,AVE, ,ELIZABETH AVE,,622 ELIZABETH AVE,98550
-78.4584960715335,38.0426036924877,10470472,,1015, ,PEARTREE,LN, ,PEARTREE LN,,1015 PEARTREE LN,98604
-78.4795257850415,38.0601214861286,10470473,,1700, ,KING MOUNTAIN,RD, ,KING MOUNTAIN RD,,1700 KING MOUNTAIN RD,98656
-78.5104149779072,38.0425562367385,10470474,,2021, ,IVY,RD, ,IVY RD,B9,2021 IVY RD #B9,98709
-78.4840019033365,38.023933235428,10470475,,971, ,2ND,ST,SE,ELLIOTT AVE,,971 2ND ST SE,98792
-78.511233529904,38.028008107543,10470476,,1821, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,5,1821 JEFFERSON PARK AVE #5,98890
-78.4771692235093,38.0226042678176,10470477,,811, ,BOLLING,AVE, ,BOLLING AVE,,811 BOLLING AVE,98981
-78.4762474167768,38.0344657560445,10470478,,601, ,PARK,ST, ,PARK ST,,601 PARK ST,99073
-78.515170718536,38.022436137052,10470479,,2413, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,B,2413 JEFFERSON PARK AVE #B,99134
-78.4791935229712,38.0305974266344,10470480,,113, ,4TH,ST,NE,4TH ST NE,100,113 4TH ST NE #100,99179
-78.4715143215866,38.0273680742733,10470481,,1112,E,MARKET,ST, ,E MARKET ST,31K,1112 E MARKET ST #31K,99232
-78.502399208105,38.021848703112,10470482,,1530, ,TRAILRIDGE,RD, ,TRAILRIDGE RD,,1530 TRAILRIDGE RD,99284
-78.5000231108796,38.0426774834384,10470483,,611, ,RUGBY,RD, ,RUGBY RD,G04,611 RUGBY RD #G04,99321
-78.4913251920038,38.0425090540846,10470484,,1114, ,PRESTON,AVE, ,PRESTON AVE,,1114 PRESTON AVE,99373
-78.5159451832531,38.0261439325912,10470485,,2205, ,FONTAINE,AVE, ,FONTAINE AVE,204,2205 FONTAINE AVE #204,99462
-78.4804301173818,38.050655839669,10470486,,345, ,250,BYP, ,250 BYP,,345 250 BYP,99551
-78.4746449819687,38.0250159487912,10470487,,226, ,DOUGLAS,AVE, ,DOUGLAS AVE,,226 DOUGLAS AVE,99643
-78.4709373481574,38.0361810589733,10470488,,737, ,LEXINGTON,AVE, ,LEXINGTON AVE,,737 LEXINGTON AVE,99743
-78.5065980979349,38.018922300422,10470489,,696, ,HIGHLAND,AVE, ,HIGHLAND AVE,,696 HIGHLAND AVE,99834
-78.4730549726765,38.0683624158783,10470490,,2239, ,BRANDYWINE,DR, ,BRANDYWINE DR,,2239 BRANDYWINE DR,99926
-78.4995152407798,38.0369816009691,10470491,,301,,15TH,ST,NW,15TH ST NW,1017,301 15TH ST NW #1017,100015
-78.503174404285,38.0258881849581,10470492,,101, ,NORTH BAKER,ST, ,NORTH BAKER ST,,101 NORTH BAKER ST,100105
-78.5128487436944,38.0383305558604,10470493,,1962, ,LEWIS MOUNTAIN,RD, ,LEWIS MOUNTAIN RD,3,1962 LEWIS MOUNTAIN RD #3,100251
-78.4945649585428,38.0182364967377,10470494,,1014, ,RIDGE,ST, ,RIDGE ST,8,1014 RIDGE ST #8,100353
-78.4926024102591,38.0412597921489,10470495,,1021, ,PRESTON,AVE, ,PRESTON AVE,B,1021 PRESTON AVE #B,100444
-78.4827090704301,38.0459222661689,10470496,,1450, ,RUTLEDGE,AVE, ,RUTLEDGE AVE,,1450 RUTLEDGE AVE,100534
-78.50244537244,38.0513424517434,10470497,,1027, ,EMMET,ST,N,EMMET ST N,,1027 EMMET ST N,105738
-78.4929875954461,38.0615217207602,10470498,,1901,,EMMET,ST,N,HYDRAULIC RD,,1901 EMMET ST N,105739
-78.4802900127962,38.0348769261562,10470499,,511,,1ST,ST,N,1ST ST N,407,511 1ST ST N #407,105740
-78.4802900127962,38.0348769261562,10470500,,511,,1ST,ST,N,1ST ST N,406,511 1ST ST N #406,105741
-78.4946333911448,38.0239797228163,10470501,,720, ,PROSPECT,AVE, ,PROSPECT AVE,E,720 PROSPECT AVE #E,103114
-78.4946333911448,38.0239797228163,10470502,,720, ,PROSPECT,AVE, ,PROSPECT AVE,F,720 PROSPECT AVE #F,103115
-78.4946485820001,38.0239590600859,10470503,,722, ,PROSPECT,AVE, ,PROSPECT AVE,A,722 PROSPECT AVE #A,103116
-78.4946485820001,38.0239590600859,10470504,,722, ,PROSPECT,AVE, ,PROSPECT AVE,B,722 PROSPECT AVE #B,103117
-78.4946485820001,38.0239590600859,10470505,,722, ,PROSPECT,AVE, ,PROSPECT AVE,C,722 PROSPECT AVE #C,103118
-78.4946485820001,38.0239590600859,10470506,,722, ,PROSPECT,AVE, ,PROSPECT AVE,D,722 PROSPECT AVE #D,103119
-78.4946485820001,38.0239590600859,10470507,,722, ,PROSPECT,AVE, ,PROSPECT AVE,E,722 PROSPECT AVE #E,103120
-78.4946485820001,38.0239590600859,10470508,,722, ,PROSPECT,AVE, ,PROSPECT AVE,F,722 PROSPECT AVE #F,103121
-78.4946640131089,38.023939009987,10470509,,724, ,PROSPECT,AVE, ,PROSPECT AVE,A,724 PROSPECT AVE #A,103122
-78.4946640131089,38.023939009987,10470510,,724, ,PROSPECT,AVE, ,PROSPECT AVE,B,724 PROSPECT AVE #B,103123
-78.4946640131089,38.023939009987,10470511,,724, ,PROSPECT,AVE, ,PROSPECT AVE,C,724 PROSPECT AVE #C,103124
-78.4951179739447,38.0233358686941,10470512,,726, ,PROSPECT,AVE, ,PROSPECT AVE,A,726 PROSPECT AVE #A,103125
-78.4951179739447,38.0233358686941,10470513,,726, ,PROSPECT,AVE, ,PROSPECT AVE,B,726 PROSPECT AVE #B,103126
-78.4951179739447,38.0233358686941,10470514,,726, ,PROSPECT,AVE, ,PROSPECT AVE,C,726 PROSPECT AVE #C,103127
-78.4951179739447,38.0233358686941,10470515,,726, ,PROSPECT,AVE, ,PROSPECT AVE,D,726 PROSPECT AVE #D,103128
-78.4951179739447,38.0233358686941,10470516,,726, ,PROSPECT,AVE, ,PROSPECT AVE,E,726 PROSPECT AVE #E,103129
-78.4951179739447,38.0233358686941,10470517,,726, ,PROSPECT,AVE, ,PROSPECT AVE,F,726 PROSPECT AVE #F,103130
-78.4951334025208,38.0233158203317,10470518,,728, ,PROSPECT,AVE, ,PROSPECT AVE,A,728 PROSPECT AVE #A,103131
-78.4951334025208,38.0233158203317,10470519,,728, ,PROSPECT,AVE, ,PROSPECT AVE,B,728 PROSPECT AVE #B,103132
-78.4951334025208,38.0233158203317,10470520,,728, ,PROSPECT,AVE, ,PROSPECT AVE,C,728 PROSPECT AVE #C,103133
-78.4951334025208,38.0233158203317,10470521,,728, ,PROSPECT,AVE, ,PROSPECT AVE,D,728 PROSPECT AVE #D,103134
-78.4951334025208,38.0233158203317,10470522,,728, ,PROSPECT,AVE, ,PROSPECT AVE,E,728 PROSPECT AVE #E,103135
-78.4951334025208,38.0233158203317,10470523,,728, ,PROSPECT,AVE, ,PROSPECT AVE,F,728 PROSPECT AVE #F,103136
-78.4951489427015,38.0232957305295,10470524,,730, ,PROSPECT,AVE, ,PROSPECT AVE,A,730 PROSPECT AVE #A,103137
-78.4951489427015,38.0232957305295,10470525,,730, ,PROSPECT,AVE, ,PROSPECT AVE,B,730 PROSPECT AVE #B,103138
-78.4951489427015,38.0232957305295,10470526,,730, ,PROSPECT,AVE, ,PROSPECT AVE,C,730 PROSPECT AVE #C,103139
-78.4849166129061,38.0299821122981,10470527,,100, ,RIDGE,ST, ,RIDGE ST,102,100 RIDGE ST #102,103140
-78.4849166129061,38.0299821122981,10470528,,100, ,RIDGE,ST, ,RIDGE ST,403,100 RIDGE ST #403,103187
-78.4849166129061,38.0299821122981,10470529,,100, ,RIDGE,ST, ,RIDGE ST,404,100 RIDGE ST #404,103188
-78.4849166129061,38.0299821122981,10470530,,100, ,RIDGE,ST, ,RIDGE ST,405,100 RIDGE ST #405,103189
-78.4849166129061,38.0299821122981,10470531,,100, ,RIDGE,ST, ,RIDGE ST,406,100 RIDGE ST #406,103190
-78.4849166129061,38.0299821122981,10470532,,100, ,RIDGE,ST, ,RIDGE ST,407,100 RIDGE ST #407,103191
-78.4849166129061,38.0299821122981,10470533,,100, ,RIDGE,ST, ,RIDGE ST,408,100 RIDGE ST #408,103192
-78.4849166129061,38.0299821122981,10470534,,100, ,RIDGE,ST, ,RIDGE ST,409,100 RIDGE ST #409,103193
-78.4849166129061,38.0299821122981,10470535,,100, ,RIDGE,ST, ,RIDGE ST,410,100 RIDGE ST #410,103194
-78.4849166129061,38.0299821122981,10470536,,100, ,RIDGE,ST, ,RIDGE ST,412,100 RIDGE ST #412,103196
-78.4849166129061,38.0299821122981,10470537,,100, ,RIDGE,ST, ,RIDGE ST,413,100 RIDGE ST #413,103197
-78.4849166129061,38.0299821122981,10470538,,100, ,RIDGE,ST, ,RIDGE ST,414,100 RIDGE ST #414,103198
-78.4849166129061,38.0299821122981,10470539,,100, ,RIDGE,ST, ,RIDGE ST,415,100 RIDGE ST #415,103199
-78.4849166129061,38.0299821122981,10470540,,100, ,RIDGE,ST, ,RIDGE ST,416,100 RIDGE ST #416,103200
-78.4849166129061,38.0299821122981,10470541,,100, ,RIDGE,ST, ,RIDGE ST,417,100 RIDGE ST #417,103201
-78.4849166129061,38.0299821122981,10470542,,100, ,RIDGE,ST, ,RIDGE ST,418,100 RIDGE ST #418,103202
-78.4849166129061,38.0299821122981,10470543,,100, ,RIDGE,ST, ,RIDGE ST,419,100 RIDGE ST #419,103203
-78.4849166129061,38.0299821122981,10470544,,100, ,RIDGE,ST, ,RIDGE ST,420,100 RIDGE ST #420,103204
-78.4849166129061,38.0299821122981,10470545,,100, ,RIDGE,ST, ,RIDGE ST,421,100 RIDGE ST #421,103205
-78.4849166129061,38.0299821122981,10470546,,100, ,RIDGE,ST, ,RIDGE ST,422,100 RIDGE ST #422,103206
-78.4849166129061,38.0299821122981,10470547,,100, ,RIDGE,ST, ,RIDGE ST,423,100 RIDGE ST #423,103207
-78.4849166129061,38.0299821122981,10470548,,100, ,RIDGE,ST, ,RIDGE ST,301,100 RIDGE ST #301,103208
-78.5189643596171,38.0264614825621,10470549,,107, ,PIEDMONT,AVE,N,PIEDMONT AVE N,B,107 PIEDMONT AVE N #B,105742
-78.5189829661622,38.0266581304902,10470550,,109, ,PIEDMONT,AVE,N,PIEDMONT AVE N,A,109 PIEDMONT AVE N #A,105743
-78.4849166129061,38.0299821122981,10470551,,100, ,RIDGE,ST, ,RIDGE ST,302,100 RIDGE ST #302,103209
-78.4849166129061,38.0299821122981,10470552,,100, ,RIDGE,ST, ,RIDGE ST,303,100 RIDGE ST #303,103210
-78.5058813960091,38.0414987129969,10470553,,140, ,EMMET,ST,N,EMMET ST N,,140 EMMET ST N,105744
-78.4849166129061,38.0299821122981,10470554,,100, ,RIDGE,ST, ,RIDGE ST,304,100 RIDGE ST #304,103211
-78.5021635119095,38.051602276019,10470555,,1107, ,EMMET,ST,N,EMMET ST N,F,1107 EMMET ST N #F,105745
-78.5042932310234,38.0490449715866,10470556,,945, ,EMMET,ST,N,EMMET ST N,,945 EMMET ST N,105746
-78.4967233345502,38.0563762596487,10470557,,1417, ,EMMET,ST,N,EMMET ST N,E,1417 EMMET ST N #E,105747
-78.4849166129061,38.0299821122981,10470558,,100, ,RIDGE,ST, ,RIDGE ST,305,100 RIDGE ST #305,103212
-78.4849166129061,38.0299821122981,10470559,,100, ,RIDGE,ST, ,RIDGE ST,306,100 RIDGE ST #306,103213
-78.4849166129061,38.0299821122981,10470560,,100, ,RIDGE,ST, ,RIDGE ST,307,100 RIDGE ST #307,103214
-78.4849166129061,38.0299821122981,10470561,,100, ,RIDGE,ST, ,RIDGE ST,308,100 RIDGE ST #308,103215
-78.4849166129061,38.0299821122981,10470562,,100, ,RIDGE,ST, ,RIDGE ST,309,100 RIDGE ST #309,103216
-78.4849166129061,38.0299821122981,10470563,,100, ,RIDGE,ST, ,RIDGE ST,310,100 RIDGE ST #310,103217
-78.4849166129061,38.0299821122981,10470564,,100, ,RIDGE,ST, ,RIDGE ST,311,100 RIDGE ST #311,103218
-78.4849166129061,38.0299821122981,10470565,,100, ,RIDGE,ST, ,RIDGE ST,312,100 RIDGE ST #312,103219
-78.4849166129061,38.0299821122981,10470566,,100, ,RIDGE,ST, ,RIDGE ST,313,100 RIDGE ST #313,103220
-78.4849166129061,38.0299821122981,10470567,,100, ,RIDGE,ST, ,RIDGE ST,314,100 RIDGE ST #314,103221
-78.4849166129061,38.0299821122981,10470568,,100, ,RIDGE,ST, ,RIDGE ST,315,100 RIDGE ST #315,103222
-78.4849166129061,38.0299821122981,10470569,,100, ,RIDGE,ST, ,RIDGE ST,316,100 RIDGE ST #316,103223
-78.4849166129061,38.0299821122981,10470570,,100, ,RIDGE,ST, ,RIDGE ST,317,100 RIDGE ST #317,103224
-78.4849166129061,38.0299821122981,10470571,,100, ,RIDGE,ST, ,RIDGE ST,318,100 RIDGE ST #318,103225
-78.4849166129061,38.0299821122981,10470572,,100, ,RIDGE,ST, ,RIDGE ST,319,100 RIDGE ST #319,103226
-78.4849166129061,38.0299821122981,10470573,,100, ,RIDGE,ST, ,RIDGE ST,320,100 RIDGE ST #320,103227
-78.4849166129061,38.0299821122981,10470574,,100, ,RIDGE,ST, ,RIDGE ST,321,100 RIDGE ST #321,103228
-78.4849166129061,38.0299821122981,10470575,,100, ,RIDGE,ST, ,RIDGE ST,322,100 RIDGE ST #322,103229
-78.4849166129061,38.0299821122981,10470576,,100, ,RIDGE,ST, ,RIDGE ST,323,100 RIDGE ST #323,103230
-78.4849166129061,38.0299821122981,10470577,,100, ,RIDGE,ST, ,RIDGE ST,B14,100 RIDGE ST #B14,103231
-78.4849166129061,38.0299821122981,10470578,,100, ,RIDGE,ST, ,RIDGE ST,B16,100 RIDGE ST #B16,103232
-78.4832635307982,38.0269312769625,10470579,,500, ,1ST,ST,S,1ST ST S,711,500 1ST ST S #711,103008
-78.4832635307982,38.0269312769625,10470580,,500, ,1ST,ST,S,1ST ST S,713,500 1ST ST S #713,103009
-78.4832635307982,38.0269312769625,10470581,,500, ,1ST,ST,S,1ST ST S,714,500 1ST ST S #714,103010
-78.4832635307982,38.0269312769625,10470582,,500, ,1ST,ST,S,1ST ST S,801,500 1ST ST S #801,103011
-78.4832635307982,38.0269312769625,10470583,,500, ,1ST,ST,S,1ST ST S,802,500 1ST ST S #802,103012
-78.4832635307982,38.0269312769625,10470584,,500, ,1ST,ST,S,1ST ST S,803,500 1ST ST S #803,103013
-78.4832635307982,38.0269312769625,10470585,,500, ,1ST,ST,S,1ST ST S,806,500 1ST ST S #806,103014
-78.4832635307982,38.0269312769625,10470586,,500, ,1ST,ST,S,1ST ST S,807,500 1ST ST S #807,103015
-78.4799268805032,38.0279235752773,10470587,,322, ,4TH,ST,SE,4TH ST SE,4,322 4TH ST SE #4,103286
-78.4799268805032,38.0279235752773,10470588,,322, ,4TH,ST,SE,4TH ST SE,5,322 4TH ST SE #5,103287
-78.4799268805032,38.0279235752773,10470589,,322, ,4TH,ST,SE,4TH ST SE,6,322 4TH ST SE #6,103288
-78.4799268805032,38.0279235752773,10470590,,322, ,4TH,ST,SE,4TH ST SE,7,322 4TH ST SE #7,103289
-78.4799268805032,38.0279235752773,10470591,,322, ,4TH,ST,SE,4TH ST SE,8,322 4TH ST SE #8,103290
-78.4732188482387,38.0286187594027,10470592,,1000,E,MARKET,ST, ,E MARKET ST,2-6,1000 E MARKET ST #2-6,103291
-78.4732188482387,38.0286187594027,10470593,,1000,E,MARKET,ST, ,E MARKET ST,3-1,1000 E MARKET ST #3-1,103292
-78.4732188482387,38.0286187594027,10470594,,1000,E,MARKET,ST, ,E MARKET ST,3-2,1000 E MARKET ST #3-2,103293
-78.4732188482387,38.0286187594027,10470595,,1000,E,MARKET,ST, ,E MARKET ST,3-3,1000 E MARKET ST #3-3,103294
-78.4732188482387,38.0286187594027,10470596,,1000,E,MARKET,ST, ,E MARKET ST,3-5,1000 E MARKET ST #3-5,103295
-78.4732188482387,38.0286187594027,10470597,,1000,E,MARKET,ST, ,E MARKET ST,3-6,1000 E MARKET ST #3-6,103296
-78.4732188482387,38.0286187594027,10470598,,1000,E,MARKET,ST, ,E MARKET ST,B,1000 E MARKET ST #B,103297
-78.4732188482387,38.0286187594027,10470599,,1000,E,MARKET,ST, ,E MARKET ST,1-1,1000 E MARKET ST #1-1,103298
-78.4732188482387,38.0286187594027,10470600,,1000,E,MARKET,ST, ,E MARKET ST,1-2,1000 E MARKET ST #1-2,103299
-78.4732188482387,38.0286187594027,10470601,,1000,E,MARKET,ST, ,E MARKET ST,1-3,1000 E MARKET ST #1-3,103300
-78.4993472123214,38.0541444714578,10470602,,1207, ,EMMET,ST,N,EMMET ST N,,1207 EMMET ST N,105748
-78.4732188482387,38.0286187594027,10470603,,1000,E,MARKET,ST, ,E MARKET ST,1-4,1000 E MARKET ST #1-4,103301
-78.4926498484916,38.0389866027803,10470604,,1021, ,GRADY,AVE, ,GRADY AVE,,1021 GRADY AVE,105896
