RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
27,010030000,1869,FIELD RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1953,6,2,0,2,0,434,,Cellar,Brick Veneer,1.00,2370
28,010030100,1871,FIELD RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1954,7,3,0,2,0,1392,,Partial Basement,Brick Veneer,1.00,1634
29,010031000,1873,FIELD RD,,Single Family,1 Story,B,Shingles,Other,Hot Water Radiator,2,1952,11,4,1,2,0,,,No Basement,Brick Veneer,1.00,2584
30,010032000,1877,FIELD RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1952,12,7,1,4,0,1493,985,Full Basement,Brick Veneer,1.00,3424
32,010034000,1882,FIELD RD,,Single Family,1.5 Story,B++,Architectural Shingles,Hardwood,Forced Air,1,1952,12,5,1,4,0,1472,1278,Walkout Basement,Brick Veneer,1.00,2956
33,010035000,1874,FIELD RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,2,1953,6,3,1,2,0,1122,519,Full Basement,Wood,1.50,1668
34,010036000,1872,FIELD RD,,Single Family,1 Story,B,Shingles,Hardwood,Heat Pump,1,1958,9,4,1,3,0,1544,1496,Partial Basement,Brick Veneer,1.00,3229
35,010037000,1870,FIELD RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1953,8,3,1,3,0,1780,710,Full Basement,Brick Veneer,1.50,3125
36,010038000,1868,FIELD RD,,Single Family,Split-Level (Avg),B++,Architectural Shingles,Hardwood,Heat Pump,4,1952,10,4,1,4,0,2160,990,Partial Basement,Hardy Board,2.0,3480
37,010039000,1866,FIELD RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1953,10,4,0,3,0,1675,1139,Partial Basement,Brick Veneer,1.00,1810
38,010040000,1864,FIELD RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1953,6,4,0,3,0,1584,1584,Full Basement,Brick Veneer,1.00,1596
39,010041000,906,FENDALL TER,,Single Family,1 Story,A -,Architectural Shingles,Hardwood,Hot Water Radiator,1,2005,10,3,2,3,0,2971,2651,Partial Basement,Hardy Board,1.00,3992
40,010042000,1859,WINSTON RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1948,10,4,0,3,0,1244,290,Partial Basement,Brick Veneer,2.00,3587
41,010043000,1861,WINSTON RD,,Single Family,1 Sty Excellent,B++,Metal,Hardwood,Forced Air,2,1954,9,3,0,3,0,1231,1231,Walkout Basement,Hardy Board,1.00,1350
42,010044000,1863,WINSTON RD,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,2,1945,8,4,1,3,0,1511,1364,Partial Basement,Wood,2.00,3636
43,010045000,1867,WINSTON RD,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,1,1936,10,5,1,2,0,694,,Partial Basement,Wood,2.00,2828
44,010046000,901,FENDALL TER,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,2,1939,8,3,1,3,0,1169,818,Full Basement,Brick Veneer,2.00,2250
45,010047000,905,FENDALL TER,,Single Family,2 Story,B +,Architectural Shingles,Hardwood,Hot Water Radiator,3,1946,11,4,1,3,1,2138,2138,Partial Basement,Hardy Board,2.0,3949
52,020003000,1910,BARRACKS RD,,Single Family,2 Story,A -,Slate,Hardwood,Forced Air,2,1932,8,3,1,3,0,1271,1080,Partial Basement,Brick Veneer,2.00,3052
53,020003000,1910,BARRACKS RD,,Single Family,1 Story,C,Shingles,Hardwood,Baseboard,0,1933,2,0,0,1,0,,,No Basement,Stone,1.00,308
54,020004000,120,BUCKINGHAM RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1954,7,3,0,3,0,1370,1154,Full Basement,Wood,1.00,1370
55,020005000,128,BUCKINGHAM RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1954,10,4,0,3,1,1259,923,Full Basement,Brick Veneer,2.00,3220
56,020006000,108,BUCKINGHAM RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1956,10,3,0,3,0,1769,1327,Full Basement,Brick Veneer,1.00,2207
57,020006100,110,BUCKINGHAM RD,,Single Family,Split-Level,B -,Shingles,Hardwood,Forced Air,2,1956,11,5,0,4,0,724,330,Partial Basement,Brick Veneer,2.00,2392
58,020006200,114,BUCKINGHAM RD,,Single Family,Split-Level,C +,Shingles,Hardwood,Forced Air,2,1957,8,4,0,3,0,1200,1200,Full Basement,Brick Veneer,2.00,1200
59,020006300,118,BUCKINGHAM RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Heat Pump,3,1954,7,3,1,2,0,1247,350,Full Basement,Brick Veneer,1.66,2070
62,020009000,1812,BARRACKS RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1957,6,3,0,3,0,1171,1050,Full Basement,Brick Veneer,1.00,1171
68,020016000,1800,BARRACKS RD,,Single Family,2 Story,B,Shingles,W/W Carpet,Heat Pump,1,1979,8,3,1,2,0,,,No Basement,Wood,2.00,2382
69,020016100,1107,RUGBY RD,,Single Family,2 Story,B +,Architectural Shingles,Hardwood,Heat Pump,1,1979,7,3,1,2,0,,,No Basement,Wood,2.00,1755
70,020016200,1109,RUGBY RD,,Single Family,Contemporary,B,Shingles,Hardwood,Forced Air,No dat,2014,9,3,1,2,No dat,,,No Basement,Hardy Board,2,2074
71,020017000,1105,RUGBY RD,,Single Family,1.5 Story,A,Shingles,Hardwood,Hot Water Radiator,1,1951,7,4,0,2,0,988,494,Full Basement,Brick Veneer,1.50,1729
72,020019000,1101,RUGBY RD,,Single Family,2 Sty Superior,A +,Slate,Hardwood,Hot Water Radiator,2,1925,10,4,1,3,0,976,940,Partial Basement,Wood,2.00,4356
73,020019100,947,ROSSER LN,,Single Family,Contemporary,B +,Metal,Hardwood,Forced Air,1,1990,9,4,0,3,0,953,496,Walkout Basement,Stucco,2.00,2858
74,020020000,945,ROSSER LN,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1952,10,5,1,3,0,505,299,Partial Basement,Brick Veneer,1.00,3932
75,020021000,941,ROSSER LN,,Single Family,2 Story,B +,Architectural Shingles,Hardwood,Heat Pump,2,1971,8,4,1,2,2,1240,500,Partial Basement,Brick Veneer,2.00,2800
76,020022000,939,ROSSER LN,,Single Family,2 Story,A,Shingles,Hardwood,Forced Air,2,1969,7,3,1,2,1,1181,768,Partial Basement,Brick Veneer,2.00,2338
77,020023000,1801,WESTVIEW RD,,Single Family,2 Sty Superior,A +,Copper,Hardwood,Forced Air,3,1953,9,4,2,5,0,720,,Partial Basement,Brick Veneer,2.00,3756
78,020023100,1829,WESTVIEW RD,,Single Family,1.5 Story,A,Slate,Hardwood,Forced Air,2,1964,9,3,2,3,1,2166,860,Full Basement,Brick Veneer,1.50,4328
79,020023A00,921,ROSSER LN,,Single Family,1.5 Sty Excellent,B++,Architectural Shingles,Hardwood,Forced Air,1,2000,8,3,1,2,1,864,200,Partial Basement,Board & Batten,1.5,2400
80,020024000,1833,WESTVIEW RD,,Single Family,2 Sty Superior,A,Slate,Hardwood,Hot Water Radiator,6,1940,13,6,1,3,0,919,850,Partial Basement,Brick Veneer,2.00,3706
81,020025000,1839,WESTVIEW RD,,Single Family,2 Sty Superior,A -,Architectural Shingles,Hardwood,Heat Pump,2,1939,12,4,1,3,0,1307,876,Partial Basement,Brick Veneer,2.00,3488
83,020026000,1861,WESTVIEW RD,,Single Family,2 Story,A,Slate,Hardwood,Forced Air,2,1940,12,3,1,2,0,1540,938,Full Basement,Brick Veneer,2.00,2723
84,020027000,1848,WESTVIEW RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1950,9,3,0,4,0,732,732,Full Basement,Brick Veneer,1.00,3334
85,020028000,1844,WESTVIEW RD,,Single Family,1 Story,B +,Architectural Shingles,Hardwood,Forced Air,2,1951,10,4,0,4,0,752,,Cellar,Brick Veneer,1.00,2518
86,020029000,1834,WESTVIEW RD,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Hot Water Radiator,2,1951,9,5,2,3,0,360,,Cellar,Brick Veneer,1.50,3454
87,020031000,1859,FIELD RD,,Single Family,2 Story,A,Shingles,Hardwood,Forced Air,1,1953,10,5,0,7,0,1044,1044,Partial Basement,Brick Veneer,2.00,4568
88,020032000,1861,FIELD RD,,Single Family,Split-Level,A,Shingles,Hardwood,Forced Air,2,1956,11,5,1,5,0,1568,1268,Partial Basement,Brick Veneer,2.00,2062
90,020034000,1857,WINSTON RD,,Single Family,1 Story,B,Metal,Hardwood,Forced Air,1,1949,6,2,1,2,0,1211,214,Full Basement,Wood,1.00,1490
91,020035000,1855,WINSTON RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1951,12,8,0,3,0,1216,1216,Full Basement,Brick Veneer,1.66,2310
94,020038000,1858,FIELD RD,,Single Family,2 Story,B +,Architectural Shingles,Hardwood,Radiant,3,1953,9,5,0,4,0,1714,1302,Full Basement,Wood,2.00,2518
96,020040000,1847,WINSTON RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1947,4,2,0,1,0,570,,Partial Basement,Aluminum,1.00,950
97,020041000,1843,WINSTON RD,,Single Family,1.5 Story,B +,Shingles,Hardwood,Forced Air,2,1952,8,4,1,3,0,1020,1006,Partial Basement,Wood,1.50,1591
98,020042000,1856,FIELD RD,,Single Family,Split-Level (Avg),B++,Architectural Shingles,Hardwood,Hot Water Radiator,2,1952,7,3,0,3,0,769,769,Walkout Basement,Brick Veneer,1.0,1574
99,020043000,1854,FIELD RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1953,9,5,0,3,0,1712,1188,Full Basement,Brick Veneer,1.00,1712
100,020044000,919,OLD FARM RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1952,6,3,1,1,0,,,No Basement,Brick Veneer,1.00,1319
102,020046000,911,OLD FARM RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1954,7,3,0,3,0,668,534,Partial Basement,Brick Veneer,1.00,1948
103,020047000,907,OLD FARM RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1960,8,5,0,3,0,2117,960,Partial Basement,Brick Veneer,1.00,2180
104,020048000,1839,WINSTON RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,2,1954,10,4,0,3,0,1408,322,Partial Basement,Brick Veneer,1.50,2266
105,020049000,1825,WINSTON RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1952,7,3,0,2,0,,,No Basement,Brick Veneer,1.00,2475
106,020050000,910,OLD FARM RD,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Heat Pump,1,1954,10,4,0,3,0,,,No Basement,Brick Veneer,1.75,3402
107,020050100,906,OLD FARM RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1955,9,4,0,3,0,0,0,No Basement,Brick Veneer,1.00,2779
108,020051000,912,OLD FARM RD,,Single Family,1 Story,A -,Architectural Shingles,Hardwood,Forced Air,3,1951,8,3,1,2,0,,,No Basement,Brick Veneer,1.00,2590
109,020052000,916,OLD FARM RD,,Single Family,1 Story,B,Metal,Hardwood,Forced Air,1,1954,8,4,0,2,0,,,No Basement,Wood,1.00,2044
110,020052000,916,OLD FARM RD,,Single Family,2 Story,B,Shingles,None,Heat Pump,0,1980,3,0,0,1,0,,,No Basement,Wood,2.00,1188
111,020053000,1832,WESTVIEW RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Heat Pump,3,1959,6,3,0,3,0,520,0,Partial Basement,Wood,1.50,2622
112,020054000,1823,WINSTON RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Heat Pump,0,1981,5,3,0,2,0,0,0,No Basement,Wood,1.50,1361
113,020054100,1821,WINSTON RD,,Single Family,1 Sty w/ Bsmt,B++,Architectural Shingles,Hardwood,Heat Pump,2,1968,8,4,1,3,0,1325,1325,Partial Basement,Hardy Board,1.00,1451
114,020054200,905,COTTAGE LN,,Single Family,1.5 Story,B,Metal,Hardwood,Heat Pump,1,1979,7,3,1,3,0,1177,589,Full Basement,Wood,1.75,2098
115,020054300,907,COTTAGE LN,,Single Family,2 Story,B,Shingles,Hardwood,Heat Pump,1,1890,7,3,1,3,0,407,,Full Basement,Wood,2.00,3105
116,020054400,909,COTTAGE LN,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,1,1870,5,0,0,1,0,0,0,Partial Basement,Wood,2.00,1613
117,020054500,911,COTTAGE LN,,Single Family,2 Story,B,Metal,None,Heat Pump,1,2010,8,4,1,4,0,1582,1582,Partial Basement,Hardy Board,2.00,2865
118,020054600,915,COTTAGE LN,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1975,8,3,1,3,0,793,500,Full Basement,Wood,1.50,2016
119,020055100,904,COTTAGE LN,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,0,1973,8,4,0,3,0,,,No Basement,Wood,1.00,2313
120,020055101,1828,WESTVIEW RD,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,2,1975,9,4,1,2,0,977,326,Full Basement,Hardy Board,2.00,1954
122,020055200,1815,WINSTON RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1967,8,3,0,3,0,1727,0,Full Basement,Brick Veneer,1.00,1727
123,020055300,901,ROSSER LN,,Single Family,Split-Foyer,B,Shingles,None,Forced Air,2,1975,9,5,0,3,0,1512,756,Full Basement,Brick Veneer,1.00,1512
124,020055400,905,ROSSER LN,,Single Family,Split-Foyer,B,Shingles,Hardwood,Forced Air,2,1975,8,4,0,3,0,1512,1512,Partial Basement,Brick Veneer,1.00,1902
125,020055500,907,ROSSER LN,,Single Family,Split-Foyer,B +,Architectural Shingles,Hardwood,Forced Air,2,1975,9,4,0,3,0,1512,970,Walkout Basement,Brick Veneer,1.00,1512
126,020055600,909,ROSSER LN,,Single Family,Split-Foyer,B +,Architectural Shingles,Hardwood,Forced Air,2,1975,8,4,0,3,0,1512,756,Walkout Basement,Brick Veneer,1.00,1512
128,020055800,1822,WESTVIEW RD,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,3,1967,12,4,0,4,0,1738,869,Partial Basement,Wood,2.00,3552
130,020056000,900,ROSSER LN,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1951,6,2,0,3,0,211,,Partial Basement,Brick Veneer,1.00,3309
131,020057000,902,ROSSER LN,,Single Family,2 Sty No Bsmt,B +,Slate,Hardwood,Hot Water Radiator,1,1948,7,3,1,2,0,,,No Basement,Brick Veneer,2.00,2426
132,020058000,908,ROSSER LN,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1951,6,3,0,1,1,1284,284,Full Basement,Wood,1.00,1280
133,020059000,912,ROSSER LN,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1952,6,3,1,2,0,848,337,Full Basement,Asbestos,1.50,1272
136,020062000,924,ROSSER LN,,Single Family,1 Story,B++,Shingles,Hardwood,Forced Air,1,1952,10,3,0,3,1,1535,763,Partial Basement,Brick Veneer,1.00,2137
137,020063000,928,ROSSER LN,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Forced Air,2,1953,9,4,0,3,2,1678,,Partial Basement,Wood,1.75,3310
138,020064000,932,ROSSER LN,,Single Family,1.5 Story,B,Architectural Shingles,Hardwood,Heat Pump,1,1953,7,3,0,3,0,763,,Partial Basement,Brick Veneer,1.50,2241
139,020065000,938,ROSSER LN,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1952,8,3,0,3,0,1354,1079,Full Basement,Brick Veneer,1.00,2483
140,020066000,942,ROSSER LN,,Single Family,1 Sty Excellent,A -,Metal,Hardwood,Hot Water Radiator,1,1952,8,3,0,2,0,,,No Basement,Hardy Board,1.00,1909
141,020068000,1007,RUGBY RD,,Single Family,1.5 Story,A,Slate,Hardwood,Mini-Splits,5,1928,11,5,1,4,2,1810,700,Partial Basement,Brick/Masonry,1.50,4453
143,020069000,933,RUGBY RD,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,4,1930,8,4,1,4,0,431,,Partial Basement,Brick Veneer,2.00,4336
149,020072000,921,RUGBY RD,,Single Family,1.5 Story,B++,Asbestos,Hardwood,Hot Water Radiator,1,1930,7,4,1,2,0,1204,,Partial Basement,Brick Veneer,1.66,2417
150,020073000,919,RUGBY RD,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,1,1930,8,4,1,2,0,403,,Full Basement,Brick Veneer,2.00,2408
151,020074000,917,RUGBY RD,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,2,1939,11,5,1,4,0,,,No Basement,Brick Veneer,2.00,3941
152,020075000,915,RUGBY RD,,Single Family,1.5 Story,A,Shingles,Hardwood,Hot Water Radiator,1,1947,6,3,1,2,0,,,Partial Basement,Brick Veneer,1.50,2616
153,020076000,905,RUGBY RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1951,7,3,1,1,0,,,No Basement,Brick Veneer,1.00,1319
154,020077000,901,RUGBY RD,,Single Family,1.5 Story,B,Shingles,W/W Carpet,Hot Water Radiator,1,1951,10,4,1,4,0,1558,1276,Partial Basement,Brick Veneer,1.75,3130
155,030001000,1106,RUGBY RD,,Single Family,2 Story,B +,Shingles,Hardwood,Hot Water Radiator,1,1910,10,6,2,2,0,300,150,Partial Basement,Wood,2.00,2700
156,030002000,1102,RUGBY RD,,Single Family,2 Story,B +,Shingles,Hardwood,Hot Water Radiator,1,1930,7,4,0,3,0,567,,Partial Basement,Wood,2.00,2173
157,030003000,1717,RUGBY AVE,,Single Family,1 Sty w/ Bsmt,C +,Architectural Shingles,Hardwood,Hot Water Radiator,3,1925,7,3,0,2,1,1548,,Partial Basement,Wood,1.00,1962
158,030004000,1711,RUGBY AVE,,Single Family,1.5 Story,B++,Architectural Shingles,Hardwood,Hot Water Radiator,1,1925,9,3,0,2,0,,,No Basement,Cedar,1.75,2428
159,030005000,1715,RUGBY AVE,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1939,6,3,0,2,0,305,0,Partial Basement,Wood,1.00,1433
160,030006000,1701,RUGBY AVE,,Single Family,1.5 Story,C,Shingles,Hardwood,Hot Water Radiator,2,1956,10,4,1,3,1,1460,958,Full Basement,Brick Veneer,1.50,2150
163,030007000,1106,STONEFIELD LN,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1947,5,2,0,1,0,,,No Basement,Concrete Block,1.00,1023
164,030008000,1643,RUGBY AVE,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1947,6,3,0,2,0,,,No Basement,Wood Shingle,1.00,1623
165,030009000,1641,RUGBY AVE,,Single Family,1 Sty w/ Bsmt,C,Architectural Shingles,Hardwood,Floor Furnace,1,1950,4,2,0,1,0,825,,Full Basement,Concrete Block,1.00,825
167,030011000,1627,RUGBY AVE,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,2,1948,8,3,0,2,0,749,375,Full Basement,Concrete Block,1.50,1273
169,030013000,1623,RUGBY AVE,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1949,6,2,0,1,0,0,0,No Basement,Wood,1.00,912
170,030014000,1621,RUGBY AVE,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1948,9,4,1,3,1,1193,379,Partial Basement,Wood,1.50,2101
171,030015000,1105,HERNDON RD,,Single Family,1.5 Story,B++,Metal,Hardwood,Heat Pump,1,1948,9,4,No dat,3,0,,,No Basement,Hardy Board,1.75,2383
172,030016000,1549,RUGBY AVE,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1951,10,4,1,2,0,883,,Partial Basement,Brick Veneer,1.50,3228
173,030018000,1545,RUGBY AVE,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1953,5,2,0,1,0,0,0,No Basement,Brick Veneer,1.00,1097
174,030019000,1600,RUGBY AVE,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1950,6,2,0,2,0,0,0,No Basement,Concrete Block,1.00,1317
175,030020000,1606,RUGBY AVE,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1946,8,4,0,2,0,,,No Basement,Aluminum,2.00,1908
176,030021000,1610,RUGBY AVE,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Hot Water Radiator,1,1944,8,4,0,3,0,664,,Partial Basement,Hardy Board,1.66,2119
179,030023000,1618,RUGBY AVE,,Single Family,1.5 Story,C +,Shingles,Hardwood,Heat Pump,1,2006,4,1,1,1,0,,,No Basement,Wood,1.50,648
180,030023000,1618,RUGBY AVE,,Single Family,1.5 Story,C++,Architectural Shingles,Hardwood,Hot Water Radiator,1,1948,7,4,1,3,1,1114,,Cellar,Aluminum,1.50,1608
181,030024000,1626,RUGBY AVE,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1952,8,3,1,3,0,988,988,Partial Basement,Brick Veneer,1.66,2373
182,030024100,1621,WESTWOOD RD,,Single Family,1 Story,A,Shingles,Hardwood,Forced Air,1,1994,7,4,1,3,0,,,No Basement,Wood,1.50,3484
183,030025000,1619,WESTWOOD RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1952,7,2,0,2,0,1354,969,Full Basement,Brick Veneer,1.00,1354
184,030026000,1617,WESTWOOD RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1946,9,4,0,4,0,156,,Partial Basement,Concrete Block,2.00,3079
185,030027000,1615,WESTWOOD RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,1,1949,6,3,0,1,0,559,0,Partial Basement,Asbestos,1.50,1672
186,030028000,1611,WESTWOOD RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1951,10,3,0,2,0,1448,,Full Basement,Brick Veneer,1.75,2606
187,030029000,1610,WESTWOOD RD,,Single Family,1 Sty Excellent,B++,Architectural Shingles,Hardwood,Forced Air,2,1951,10,5,1,3,1,1672,1105,Partial Basement,Cedar,1.00,1805
188,030030000,1614,WESTWOOD RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1951,6,3,0,2,0,895,0,Partial Basement,Wood,1.00,1790
189,030031000,1618,WESTWOOD RD,,Single Family,1 Story,A,Shingles,Hardwood,Heat Pump,1,1951,7,3,2,4,0,1856,977,Partial Basement,Wood,1.00,2356
190,030032000,1622,WESTWOOD RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1953,9,3,0,3,1,1204,795,Full Basement,Brick Veneer,1.00,1204
191,030033000,1629,HARDWOOD AVE,,Single Family,1 Sty No Bsmt,B +,Architectural Shingles,Hardwood,Heat Pump,1,1954,9,3,No dat,3,0,,,No Basement,Brick Veneer,1.00,2280
192,030034000,1625,HARDWOOD AVE,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1954,8,3,0,2,0,,,No Basement,Wood,1.50,2106
193,030035000,1619,HARDWOOD AVE,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,0,1952,6,3,0,2,0,0,0,No Basement,Asbestos,1.00,1509
